multiplex	node	score
1	AVP	0.02547118140409179
1	HAS2	0.02541497963989305
1	AVPR2	0.025308506071388587
1	AKT1	0.025117008506976415
1	POMC	0.025104570126595695
1	MATN4	0.02510402829867652
1	PTEN	0.02509109281886362
1	CDON	0.02509053897657775
1	SOX2	0.02508167465956001
1	LHX4	0.02507611696473541
1	ROBO1	0.025066691116606445
1	RALGAPB	0.02506421741736075
1	ARNT2	0.02505888281444851
1	CISD2	0.025058850517721637
1	ALX3	0.025058802965637783
1	PRTN3	0.025056537101904853
1	CTLA4	0.025051164599305124
1	PRPS1	0.025045719323900227
1	HESX1	0.025045292819173833
1	PTPN22	0.025034654311237765
1	ALMS1	0.025033080729666066
1	SIX3	0.025032316777817934
1	SOX3	0.025028797487997648
1	GPR161	0.025028708673468104
1	WDR11	0.025027336833384303
1	PROKR2	0.025026784709700996
1	WFS1	0.025025270428361626
1	SLC52A2	0.025024743169599524
1	TRIM25	0.0023365214031486952
1	RELA	0.0016893226390350795
1	SP1	0.001550498392053988
1	GJA8	0.0015366770340143469
1	FNDC9	0.0015354980318471561
1	IGFBP5	0.0015240235484342238
1	ADIPOQ	0.0015210925716196688
1	UBE2J1	0.0015158708749966005
1	FAM209A	0.0014012048180170452
1	PAX6	0.0013804033384148926
1	TLE1	0.0013207577964645194
1	ESR2	0.0012696275591348876
1	USP4	0.001139029790000705
1	ADRB2	0.0011355929182436369
1	HAS3	0.0011339839379824732
1	HAS1	0.0011278773225119555
1	CDC23	0.0011078013969106073
1	SP3	0.0011039101822052893
1	SPPL2B	0.0010893152513879812
1	USP17L22	0.0010892134131281813
1	UPK1A	0.001083856872490049
1	CHRM2	0.0010816829682332735
1	TLE5	0.0009813211174266483
1	MTA1	0.000974195310783565
1	MYC	0.0009540456670860542
1	TLE3	0.0009502865149048755
1	GMNN	0.0009502459394594054
1	EYA1	0.0009445588986635013
1	NR4A3	0.0009409711647416205
1	ELAVL1	0.0008888658609567606
1	ABL1	0.0008635955241372937
1	NTRK1	0.0007589114438565382
1	BTRC	0.0007569989279570175
1	HDAC1	0.000718814991669679
1	CTNNB1	0.0007013817494320916
1	F2RL1	0.0006988359715596801
1	CDH2	0.0006871726883971239
1	PRKACA	0.0006771740542564096
1	NTAQ1	0.0006534503361985607
1	COMT	0.0006457127227582948
1	CDH1	0.0006435195839285665
1	PVR	0.0006420303952192753
1	SUPT16H	0.0006370788844792288
1	AIRIM	0.000607226468934091
1	BOC	0.0005954812076977593
1	APP	0.0005943472447527458
1	HNRNPL	0.0005816865638620617
1	JUN	0.0005652560038649644
1	VCP	0.0005540829861281294
1	DHH	0.000552647826648186
1	IHH	0.0005513926796696912
1	CDH15	0.0005488131543729249
1	PCDHGB1	0.0005480281866378881
1	HAX1	0.0005475195317427788
1	CEACAM21	0.0005435483051037023
1	SLC39A5	0.0005433601755245753
1	TNFSF8	0.000543131919038036
1	PCDH12	0.0005414172657035013
1	BRCA1	0.000539121207729855
1	GOLGA2	0.0005391154199661805
1	SUMO1	0.0005328316722786523
1	GORASP2	0.0005251728471956885
