multiplex	node	score
1	LTF	0.02437787192760164
1	EGFR	0.02437615971141714
1	PYY	0.024355216151293536
1	CD14	0.024329726890077584
1	CFH	0.024295076805394226
1	IFNA2	0.02425332603323061
1	PCSK1	0.02424823707863753
1	SPP1	0.024231899993736723
1	SLC9A3	0.024223129107675077
1	GUCY2C	0.024222680201622267
1	NEUROG3	0.024218028874998642
1	DGAT1	0.024197937379439892
1	ABCB11	0.02419591060143978
1	LCT	0.0241924563255631
1	IL6	0.02419117698267819
1	ANTXR2	0.02419072074105875
1	CTLA4	0.024187699602253906
1	CSF3	0.024185810188499867
1	IL1RN	0.024185429186926736
1	IL1A	0.02418188429024244
1	NPHS1	0.02418041023575798
1	ARX	0.0241789734935776
1	MYO5B	0.024175141564638236
1	SLC12A3	0.024171355112540815
1	NBN	0.02416235531432723
1	ATP8B1	0.024157037348075304
1	SLC26A3	0.0241556594504964
1	DNASE1L3	0.02414749701651443
1	FUT2	0.02414665590444223
1	ZDHHC17	0.0073288907655972265
1	NHERF1	0.002504369611004603
1	NHERF2	0.002493459934801178
1	EEF1G	0.002010379007996803
1	CYSRT1	0.0018586791486855387
1	H2BC21	0.0018399135603449556
1	CD247	0.0018308503508168757
1	NUP98	0.0018272881661870253
1	KRTAP5-9	0.0018235531119607325
1	HAX1	0.0016767193722818372
1	AP2A1	0.00166161991045494
1	HNRNPL	0.0015939363536766602
1	TMEM30A	0.0015283319438867081
1	PTPRC	0.0014867277771272338
1	ELANE	0.0014732827889263253
1	CSF3R	0.001472793512212439
1	TMEM30B	0.00147092521344458
1	PARVG	0.0014644031177285352
1	FABP5	0.0014628545457651852
1	RPS25	0.0014610519483088573
1	TBX3	0.001455978598688698
1	ESR2	0.0014242763773150368
1	IL1R1	0.0012987158933939812
1	H3C14	0.0012393343896080762
1	DDIT4L	0.0012321406320841416
1	NR4A1	0.0012266317802831022
1	LY6D	0.0012121760643233116
1	SRC	0.001132109304634101
1	IL1R2	0.0011242396162596663
1	RELA	0.001097421029181537
1	NR3C1	0.0010808191960660274
1	STK39	0.001020587585815326
1	SGTA	0.001012277644075821
1	CTNNB1	0.0009716006315104707
1	DPP4	0.0009499450528507192
1	PDZK1	0.0009480730217050647
1	FAP	0.0009313870172789244
1	NPY4R	0.0009273238672470881
1	NPY1R	0.0009225599565310866
1	NPY2R	0.0009216107418850932
1	MEP1B	0.0009213680456203388
1	NPY5R	0.0009177278209997388
1	CANX	0.000843335477990766
1	SP1	0.000807263770129314
1	CDK15	0.0008054940008141736
1	PTK2	0.0007636373876191213
1	H1-2	0.0007551586262257568
1	PMCH	0.0007469241054690143
1	FTH1	0.0007463833510247924
1	APOA1	0.0007435017721525202
1	SDHA	0.0007391376741002145
1	TERF2IP	0.0007377517088490258
1	IAPP	0.0007356504520993728
1	AFF1	0.0007315448982608276
1	JADE1	0.0007313642995578252
1	REN	0.0007300485544223149
1	PCSK1N	0.0007294693924098051
1	FYN	0.0007263911872737505
1	ISG15	0.0007198671926611614
1	IFNA5	0.0007060981329896334
1	LYN	0.0006993939165420623
1	MEOX2	0.0006947998199429274
1	NEDD4L	0.0006909463156071607
1	PLEC	0.0006891696227828721
1	ZBTB16	0.000686820201981853
1	IFNAR2	0.0006848554834743022
1	IFNA4	0.0006844136408358575
1	IFNAR1	0.0006843137811277949
1	UBR3	0.0006823561038161327
1	POT1	0.0006821638049414423
1	IFIT3	0.0006810391255882535
1	TBC1D22B	0.000677853365231952
1	SHANK2	0.0006727409055564798
1	USP48	0.000672717265216059
1	CHP1	0.0006723343469100404
1	MAST2	0.0006722616783053192
1	LRP2	0.0006712810048537241
1	DRD3	0.0006709357234058576
1	CHP2	0.0006708323851600404
1	ALB	0.0006702436552200918
1	ZER1	0.0006671541307939705
1	TIMMDC1	0.0006668474502904385
1	FCF1	0.0006649184829892995
1	PGLYRP1	0.0006629245551872993
1	SEC22C	0.0006614784893051626
1	TLR2	0.0006380796413757582
1	ATP2B2	0.0006326090686416708
1	TRIM25	0.0006281097623710639
1	TCTN3	0.0006243264649680053
1	C3AR1	0.0006232318592342872
1	POMK	0.0006195257135591778
1	SLC7A1	0.0006171901485394224
1	NFKB1	0.0006157991115168578
1	APOA2	0.0006157371782289722
1	HSPA8	0.0006147439316331686
1	GPR21	0.0006139912615589104
1	CCR9	0.0006126884755441543
1	GABRA4	0.0006081643894710633
1	HSP90AA1	0.0006075539732766308
1	CD1A	0.0006063128722543151
1	DNAJB1	0.0005915283886815109
1	ACTB	0.0005722656799593044
1	RPS27A	0.0005721649989422089
1	HSPA1A	0.0005706894392058073
1	PDIA3	0.0005602367717982263
1	STUB1	0.0005568888569106466
1	NEDD4	0.0005515266322090815
1	SMAD2	0.0005466559771951219
1	STIP1	0.00054330055714197
1	COL4A3	0.0005432658236441452
1	OXSR1	0.000542088450961392
1	LGR4	0.00054122694801087
1	COL4A5	0.0005408342127858468
1	COL4A2	0.0005389360899838641
1	IQGAP1	0.0005385956670164439
1	WNK4	0.00053698376993862
1	COL4A4	0.0005352874749592928
1	LAMB1	0.0005303522490736396
1	LRP6	0.000529618836307173
1	LAMC1	0.0005293074772883885
1	HS1BP3	0.0005289089152346961
1	KLHL3	0.0005271358266482335
1	ANKRD13D	0.0005262932130895171
1	IKBIP	0.0005249108765994607
1	ELOA	0.0005244082077985586
1	HAVCR1	0.0005219274461441567
1	GRB2	0.0005094577855476841
1	HSPA5	0.0005006318839946431
1	FAM20C	0.0004939796539619769
1	MAP3K7	0.00048449920608195705
1	GLB1	0.00048441404340644
1	NEU1	0.0004841225085258397
1	CTSA	0.00048397761182880845
1	EP300	0.0004799007387488332
1	GALNS	0.0004798804922010766
