multiplex	node	score
1	SMC3	0.023630631648498598
1	SMC1A	0.023614256391244183
1	HDAC8	0.02348190702669729
1	SNCA	0.02347149832482027
1	ATXN3	0.023459614159785053
1	AIFM1	0.023447716983983017
1	SOX2	0.023438658748393938
1	CISD2	0.02343619420403208
1	USP8	0.023430079773628133
1	PIGQ	0.023422208033295186
1	PRNP	0.023416882206683958
1	LHX3	0.02340974198165383
1	CASK	0.023402515562408948
1	PRSS12	0.02339593428387915
1	TFAP2B	0.023393172692334395
1	CRADD	0.023383816312144916
1	ATAD3A	0.023379754921556663
1	MBD5	0.023377175288431362
1	VPS35	0.023374480860815207
1	HESX1	0.023373512399476305
1	CDKL5	0.02337300272445162
1	SLC6A5	0.023368691090889473
1	TUSC3	0.0233668204917623
1	EPM2A	0.02336667409764084
1	SETD5	0.023365704088667404
1	RAI1	0.02336544831678843
1	SOX3	0.02335821077653501
1	WFS1	0.023354568157238933
1	ASXL3	0.02335210301266907
1	LINS1	0.023343246895491766
1	CLK1	0.003768845649077858
1	ELAVL1	0.0027302551065010823
1	PLRG1	0.0023512012002128956
1	PRPF40A	0.0018337211818023483
1	PPIL3	0.001801593977290096
1	SH3PXD2A	0.0017636898422625032
1	CNTLN	0.0017585069757669982
1	HNRNPL	0.001686812688903189
1	NEK4	0.0014823635063269168
1	TOP1	0.0014254067631822166
1	BAP1	0.0014174634975499174
1	SCD	0.001410473127545878
1	ESR2	0.0011225990088673907
1	TRIM25	0.0010260375471770058
1	SUMO1	0.000970227202951476
1	GRB2	0.0009362455099773103
1	MYC	0.0008643362038291718
1	APP	0.000747482046417309
1	HDAC1	0.0007447685086863005
1	AURKA	0.0007319549484866053
1	RNF4	0.0007181482767294
1	TP53	0.0006930673880137615
1	JUN	0.000686156974034043
1	STX1A	0.0006129374224673298
1	LNX1	0.0006000297485924961
1	NAGK	0.0005956476685098392
1	ATP5F1B	0.0005854659204700571
1	SDCBP	0.0005809456218565526
1	GSK3B	0.0005780846925079828
1	ATP5PB	0.0005771577975519826
1	HDGFL2	0.0005732251326248677
1	SOD2	0.0005680487301322547
1	RETREG3	0.0005621613005009998
1	STAT3	0.0005591164201877127
1	NXF1	0.0005588345218706077
1	GNB2	0.000557109662632786
1	ARL6IP5	0.0005485467246265516
1	GOLGA5	0.0005475975263290165
1	GNG5	0.0005462600957697819
1	H3C1	0.0005456974510700183
1	GPR89A	0.0005437770929142075
1	NAT14	0.000543672421032392
1	TBC1D24	0.0005411722162279466
1	LZTR1	0.0005390031910270134
1	SUMO2	0.0005306519328223573
1	TCTN2	0.0005225974878069913
1	SP1	0.0005170286398470386
1	NF2	0.0005138396879930075
1	NTRK1	0.0005025111517347253
1	IL17RB	0.0004906723708355856
1	H2BC9	0.0004905860035722505
1	PIGA	0.00048291170941592497
1	PIGP	0.0004738433221306095
1	HDAC2	0.00046939486917668097
1	UBE2I	0.0004693508165213467
1	TEAD2	0.0004644769140518545
1	CASP2	0.0004630426762178145
1	CDH1	0.0004620046736163509
1	PIGC	0.0004603618346681897
1	PIGH	0.00046025327484821747
1	PIGL	0.00046025025219401317
1	MLH1	0.0004549276905248854
1	SMAD1	0.00044202206687081
1	HOXC8	0.0004397849041461752
1	TSG101	0.00043738462419968014
1	GUCD1	0.0004320629298539166
1	CITED2	0.0004280321306851171
1	NCOR1	0.00042763451733146747
1	CREBBP	0.00042696581569602496
1	DPEP1	0.000422797903025012
1	EFTUD2	0.00042104459039498396
1	PMEL	0.00041840442092194274
1	IL17RC	0.00041838827894867997
1	TMCO3	0.00041793477667744346
1	GDPD5	0.0004173272330910534
1	PCDHAC2	0.00041700285459302626
1	TNFSF13B	0.0004168184513645243
1	TRAF2	0.0004163779564202954
1	KRT40	0.0004099751174547398
1	FYN	0.00040675850722341996
1	MTUS2	0.0004052438583969339
1	PAX6	0.00040306470036130613
1	MECP2	0.00040282764764091076
1	ABL1	0.00040187213146198865
1	CHD3	0.000401304658464313
1	ATXN1	0.00040088376357295816
1	CDKN2A	0.0003994938695612923
1	RMND5B	0.00039245968203048624
1	CEP70	0.0003923982923546436
1	CALCOCO2	0.0003919868723961309
1	TERT	0.000391801277299348
1	HSP90AA1	0.0003909747070455232
1	GLIS2	0.0003908559797661284
1	USF1	0.0003902030474105237
1	NFIC	0.0003901499933537911
1	CRX	0.0003857191294185185
1	CCDC85B	0.0003852797988035849
1	SIN3A	0.00038485029944190444
1	TP53BP2	0.0003847422557712935
1	SORBS3	0.0003840440387925655
1	NFYA	0.00038393852465470543
1	KDM1A	0.0003831881140093596
1	NSD3	0.00038251838191469067
1	OTUB1	0.00038248556034001604
1	LDOC1	0.00038154750130932124
1	TRRAP	0.0003813549170394132
1	DACH1	0.0003808644910708571
1	CFTR	0.0003807516459839625
1	TRIM54	0.00038063792237827144
1	MGMT	0.00037726340148501973
1	PRR20A	0.0003767505297479363
1	HSPA5	0.0003754707388654177
1	PLEKHG4	0.0003754249233483386
1	GLIS1	0.00037491009727935384
1	SKAP1	0.0003744328376346423
1	PRMT2	0.0003741754866298554
1	SPAG16	0.00037152828250433165
1	PRKAB2	0.00037017672091280406
1	DPPA2	0.00037017596742073823
1	NCOR2	0.00036840747166431146
1	MACF1	0.0003682174787671987
1	SIN3B	0.000366023516235123
1	TCTN3	0.00036104043623240586
1	STUB1	0.00036040877699475944
1	HEXIM1	0.0003602808474114163
1	FBXO6	0.0003575486443717375
1	PPP1CA	0.00035572470949085655
1	TFAP2A	0.00035430639690455407
1	SQSTM1	0.0003534346730766829
1	DHX38	0.00035341405629728327
1	SNX3	0.00035282295895120076
1	TLE1	0.00035161452106345403
1	HSPA4	0.0003508854824493257
1	UBE2N	0.0003499460699043563
1	DHX16	0.00034991738239326196
1	KLHL20	0.0003496929019796245
1	SRPK2	0.0003490247887294239
1	AIRIM	0.0003472787362514024
1	NKX2-5	0.00034723242474623357
1	UBL5	0.00034714405753693254
1	PRKAA1	0.0003461642664547087
1	FBXO7	0.0003461439087551894
1	MAPK6	0.00034610755229091906
1	UBAP2	0.00034292407429147394
1	PROP1	0.00034265222554156225
1	PRMT6	0.00034167269225063665
