multiplex	node	score
1	FBXO7	0.02363810916628816
1	PSEN1	0.02354595943575763
1	PRKN	0.023530950970922882
1	ATP13A2	0.02342999887000749
1	GCDH	0.0234138245590228
1	CACNA1A	0.023411461742494595
1	ATP1A3	0.023408323512662994
1	GCH1	0.023404669589241756
1	TH	0.02340211545167035
1	PANK2	0.02340024328104032
1	PINK1	0.02339978738057691
1	ATM	0.023399747206566596
1	ADCY5	0.02339776264522568
1	TOR1A	0.02339574208928959
1	TUBB4A	0.023385643412959598
1	SLC20A2	0.02338258238604593
1	THAP1	0.023381242636470703
1	FA2H	0.023377920352713837
1	SUCLA2	0.023377642413448765
1	SLC30A10	0.023373500447094537
1	KMT2B	0.023370629305124947
1	PRKRA	0.023370062648426882
1	WDR45	0.023369703765693063
1	ARX	0.02336822256747058
1	SLC2A1	0.0233603568838007
1	APTX	0.023359663122245373
1	ADAR	0.02335354956382048
1	ZNF142	0.023348116536162124
1	SERAC1	0.023346036127725536
1	C19orf12	0.02333618180333542
1	APP	0.005431134970775537
1	IKBKG	0.003636160141408671
1	TFRC	0.0020077071506502194
1	SLC30A2	0.001800388600825675
1	SLC30A3	0.0017846306347540698
1	SLC30A4	0.001784563047662054
1	HSCB	0.0017137220238303591
1	EGFR	0.00152781252889036
1	NXF1	0.0013758974556302018
1	RNF4	0.00120183108447037
1	SLC18A1	0.0011917489901069086
1	ZNG1A	0.0011846074170130535
1	SDF4	0.0011821806646547723
1	MCM2	0.001033545413169966
1	RPL30	0.0009909471795417444
1	MAPT	0.0009721939247586341
1	TRIM25	0.0009606682051609366
1	MAPK14	0.0009455834954297616
1	CACNG5	0.0008827622151001156
1	CHMP5	0.0008814979109283539
1	ESR2	0.0007976104691427316
1	TACC3	0.0006826872707388056
1	XPO1	0.0006321539879306814
1	TGOLN2	0.0006239086262298324
1	FLNB	0.000612730190140379
1	HSPA8	0.0006088079168626748
1	TOR1AIP2	0.0006074541519973947
1	YWHAZ	0.0006069146651475902
1	CDC37	0.0005959075898890057
1	SUMO1	0.000576705206326288
1	MDM2	0.0005545262596932143
1	LMNA	0.0005472597401832523
1	CSNK2A1	0.0005453570227208888
1	EGLN3	0.0005376254249223025
1	LAMP1	0.0005352025924217736
1	CLTC	0.0005175582050920075
1	RBM4	0.0005085314474584667
1	HAVCR2	0.0005013507511981809
1	ELAVL1	0.0004982976839833983
1	MOV10	0.0004948641396249303
1	SNCA	0.0004844481270803064
1	SUMO2	0.00048303959026109813
1	DLD	0.0004757722122697048
1	AIFM1	0.00045430933848734006
1	CD99L2	0.0004518543984480205
1	PRKACA	0.0004510644412854063
1	CLNS1A	0.00045062006802746836
1	TP53	0.0004491559584203482
1	SEC16A	0.00044127749257257286
1	TMEM17	0.000436521234392127
1	GTSE1	0.00043294056536893774
1	AP2A1	0.000429042650087704
1	CLINT1	0.00042793692773332074
1	CLTB	0.0004274443272117339
1	CLTA	0.00042713732483031457
1	PIK3C2A	0.0004258213116081348
1	TMEM216	0.00042495425549041887
1	APOB	0.0004240372214397647
1	EZR	0.00042186494185304525
1	PRKACB	0.0004209289641137298
1	MRRF	0.00042077157247473983
1	STK39	0.0004198547581674525
1	CYFIP1	0.00041931301610030825
1	KLC2	0.00041854958675026843
