multiplex	node	score
1	SDHC	0.023922024584978004
1	SDHA	0.023782853342673018
1	SDHB	0.023748320664335642
1	TGFBR2	0.023683851939566708
1	SDHD	0.023682726809213194
1	ACVRL1	0.023471323533660198
1	KLRC4	0.023466291462287736
1	TSC1	0.023462643807440987
1	GAL	0.023458309349585267
1	AVP	0.02345316023565369
1	NRSN1	0.02344312476913103
1	TLR4	0.023426989919265007
1	APC	0.02342558218887734
1	TSC2	0.02342146339495374
1	RELN	0.023403938690323943
1	STK11	0.023401957659129804
1	LTF	0.02340009565168127
1	VWF	0.023394992416514278
1	STAT4	0.023386372281971338
1	BAX	0.02338016153705095
1	UFD1	0.023378979730391367
1	TNXB	0.023377311036038444
1	GAP43	0.02336853411089645
1	CSF2	0.023367040222985042
1	RREB1	0.02336544708120321
1	HIRA	0.023365316100216187
1	SLC5A6	0.023360498650939136
1	WFS1	0.02335871352770031
1	TBX1	0.02333876275191772
1	SLCO2A1	0.02333522005238982
1	GRB2	0.00721355585849029
1	TRIM25	0.004764807381824129
1	TERF1	0.002616211517623522
1	TERF2	0.002361532240159179
1	ESR2	0.0015634995963897805
1	RNF4	0.0014294390993760567
1	ELAVL1	0.0011006725873394135
1	COPS5	0.0010339794949860567
1	SQSTM1	0.0009412315085828609
1	TMEM17	0.0009187932054586164
1	ERBIN	0.0009122325007140038
1	DAB1	0.0009068347981746893
1	LRP8	0.0009067944074543697
1	SLC25A5	0.0009032003807618793
1	OXCT1	0.0009027487556468752
1	FATE1	0.0009005204886071993
1	SUCLG2	0.0008962960761098566
1	SUCLA2	0.0008959331639417574
1	FCGR1A	0.0008946165698047747
1	ALDH5A1	0.0008922246223535668
1	SPACA1	0.0008908557229821171
1	SUCLG1	0.0008903609098213671
1	OXCT2	0.0008897451627487365
1	CHRM5	0.0008876532697655059
1	PCDHA4	0.0008864737168169075
1	SPINK1	0.0008858206604976393
1	PDZK1	0.0008855446412198885
1	VLDLR	0.0008851809998889269
1	LYVE1	0.0008840880623345743
1	TMEM106C	0.0008833950187567936
1	FH	0.000883172707072819
1	RNF24	0.0008829869513354768
1	GPA33	0.0008809682323474191
1	GALNT6	0.0008800164263802486
1	PCDHA6	0.0008795584002198825
1	F2RL1	0.000857404274874893
1	APP	0.0008016496879179529
1	RAE1	0.0007919032968304046
1	HCST	0.0007797741983181011
1	JUN	0.0007725543867906174
1	H2BC9	0.0007707488794670992
1	ULBP3	0.0007567336184008851
1	ULBP1	0.0007369457535310873
1	P4HB	0.000732221356378137
1	ULBP2	0.0007278840477321416
1	TYROBP	0.0007241044528785272
1	MICA	0.0007200237527738157
1	SSR3	0.0007119663521688999
1	MICB	0.0007082746664139214
1	UBQLN1	0.0006950379671824678
1	TFAP2A	0.0006576124912866322
1	TFAP2C	0.000629400598468934
1	COX6B1	0.0006116025733068752
1	COQ9	0.0006108660557488414
1	ASPH	0.0006004078694353196
1	POU6F2	0.0005969374883051287
1	UBQLN2	0.0005769772724681743
1	FCGRT	0.0005746945686938763
1	MGAT4C	0.0005709752602045895
1	SGTA	0.0005693534083547406
1	VEGFA	0.0005664195182915999
1	BANP	0.0005656383311268979
1	HLA-DPA1	0.0005637354175114938
1	CEACAM21	0.0005598500992137894
1	E2F3	0.0005554330475264784
1	CEACAM6	0.000547918567524871
1	PCOLCE	0.0005470398261867975
1	CALM1	0.0005460482652444226
1	MMP10	0.000545500451861714
1	GPR151	0.0005448478167179116
1	GALR2	0.0005448104071156642
1	VEGFB	0.0005442953624894215
1	FIGNL1	0.0005427102476808228
1	GALR1	0.0005425741231636769
1	TGM7	0.0005419327090328704
1	MDM2	0.000520648460411617
1	HDAC1	0.000502038265780739
1	CFTR	0.0004974940882296828
1	SUMO1	0.0004945457512516065
1	RHBDD2	0.00048376861973306346
1	MTNR1B	0.0004816755697354084
1	GPR35	0.00048042145050028603
1	SUMO2	0.00047020155940137576
1	ITGA5	0.00044896377269943756
1	XRCC6	0.00044289517629632515
1	HSP90AA1	0.00043844553701669314
1	NFATC2	0.0004155898940265071
1	MAPK3	0.00041407517090149556
1	SMAD1	0.0003957487546342306
1	TGFBR1	0.0003893679925930695
1	H3-4	0.00038920370952647747
1	TGFB1	0.00038328767991638297
1	MTCH2	0.0003825807360546288
1	HNRNPA1	0.0003817210781005409
1	NTRK1	0.0003788319399715957
1	CSF2RB	0.00037502854501150876
1	NFKB1	0.00037106294757726814
1	ACVR1	0.00037038751599755167
1	MAPK14	0.00036993982403086417
1	IL3RA	0.0003653351392685963
1	CUL2	0.0003643244224674192
1	ENG	0.0003626723633830311
1	ACVR2A	0.00035892710561659765
1	HSP90B1	0.000357833598934185
1	NDUFS2	0.0003546314302059596
1	SHC1	0.0003518808949021514
1	RELA	0.0003511834988832917
1	CLPP	0.00034866309451217123
1	FN1	0.0003477863782561437
1	RABEP1	0.00034577629021728646
1	ADRB2	0.000344983718279298
1	XIAP	0.0003449278616371571
1	MEOX2	0.00034220798993232895
1	CSNK2B	0.000341872314387943
1	SMURF1	0.0003395550911794163
1	OFD1	0.0003380371941612808
1	STAT1	0.00033781209956430233
1	DCTN1	0.0003321725408457049
1	UNK	0.0003307017360854757
1	TSC22D1	0.0003293042514689692
1	CRYAB	0.0003290418436606766
1	CSNK2A1	0.00032889928674555136
1	ARHGDIA	0.00032731826122247567
1	SYNCRIP	0.0003258872994679936
1	JAK1	0.0003251981849429249
1	TGFB3	0.0003251396771267938
1	ILF3	0.00032474306915805244
1	SNX6	0.0003247378554599306
1	FBF1	0.00032445134966537973
1	PEG10	0.00032418158131121725
1	IMPDH1	0.00032295346795180416
1	PABPC1	0.0003224195076551589
1	TGFBRAP1	0.00032200558160725367
1	LRG1	0.00032067608974453894
1	CRK	0.0003198026495287447
1	HNRNPA2B1	0.00031810205284471424
1	POC5	0.00031663625519544867
1	ILF2	0.0003143931839711052
1	SDC2	0.0003109940207357177
1	EPOR	0.0003082454806611281
1	SP1	0.00030723851358559326
1	PRKAB2	0.0003066303207895011
1	CREBBP	0.0003050112621015779
1	PTPRC	0.00030475223835222564
1	CBFB	0.00030424371437131915
1	CDKN2C	0.00030186813727549116
1	HNRNPA0	0.00030097831246919004
1	VHL	0.0002995371798561794
1	FOXP3	0.0002991132941459242
1	SMAD3	0.00029885355955677106
1	CLU	0.00029859922266086173
1	CSF3R	0.00029850442317460067
1	CSF2RA	0.00029817582927181726
1	AKT1	0.000296428715060071
1	STAT3	0.00029625423739414744
1	PRG2	0.0002959157033565477
1	KITLG	0.0002953757945400655
1	PLPPR3	0.0002951057875078208
1	UBR5	0.0002947102196012348
1	LYPD3	0.0002945397408628159
1	WNK1	0.00029398398398883355
1	TKT	0.000293470329567602
1	CAV1	0.00029324003071373055
1	MOV10	0.0002913863806415505
1	TRIM28	0.0002912117021674555
1	PRKCD	0.0002912065727270354
1	GSK3B	0.0002898641204636973
1	MAPK6	0.0002887657577010535
1	ADIPOR1	0.0002885876024912654
1	ITGA4	0.00028842443179086984
1	JAK2	0.0002877511933820605
1	RPL6	0.00028714336843768413
1	GJB7	0.0002866094869252531
1	TP53	0.0002862196890537402
1	KIFAP3	0.0002854706836032501
1	KDM1A	0.00028524307674075754
1	MAP2K6	0.0002850634896805401
1	PRKCB	0.00028383386186027314
1	YWHAQ	0.0002829695161080688
1	UBC	0.00028278440661123286
1	SPTAN1	0.00028213043269568816
1	SNCA	0.00028119263172609335
1	H4C16	0.0002811801513351538
1	PYHIN1	0.0002789045023207021
1	TCTN3	0.0002788646581876337
1	INHBA	0.00027857033954692
1	EGFR	0.0002784257285825298
1	MYC	0.00027798463601558834
1	HSPA1A	0.00027797886506610134
1	DNMT1	0.00027750820813028513
1	MED21	0.0002772833830839632
1	NEDD8	0.0002765598776631835
1	PCK2	0.0002760738084869651
1	CCNL2	0.0002760345824811849
1	BIRC2	0.0002757137928256237
1	HSPA5	0.0002757054571048534
1	YWHAZ	0.0002750604139659049
1	CALM2	0.00027406390976115634
1	SRC	0.0002739918502513622
1	PCDHGC3	0.00027383676685145366
1	IGSF1	0.00027122247073560403
1	AIM2	0.0002708411158837383
1	AQP6	0.0002706961548631806
1	FKBP1A	0.00027039620155443493
1	ANTXR1	0.0002699241894484137
1	CUL3	0.00026949493461495363
1	CD79A	0.00026902734709903975
1	GDF2	0.0002689150916389254
1	CCR1	0.00026830279116314096
1	HSPA8	0.00026822658284948644
1	NR1H2	0.0002675252008323697
1	FAM209A	0.0002674655949981391
1	SLC25A41	0.0002664853784614399
1	HTRA1	0.00026611354063359513
1	TMEM185A	0.000265846898439046
1	B4GALT5	0.0002656995445126281
1	SLC25A24	0.00026560169828862475
1	EIF6	0.0002650237050070488
1	PLCD1	0.00026474303617181376
1	MARVELD2	0.0002646623245286757
1	BAMBI	0.0002645960920542303
1	SYVN1	0.00026441956977307036
1	PDLIM2	0.00026413285223951614
1	JAK3	0.00026370425449217253
1	NIF3L1	0.0002632427375853633
1	TIGD5	0.0002628651829569941
1	GDE1	0.00026256943456604595
1	CYP2S1	0.00026245670179771645
1	TRARG1	0.00026220216060641397
1	KMT2A	0.0002621723396994028
1	YIPF3	0.00026216185697650263
1	DRD2	0.00026213019373120405
1	S1PR2	0.00026200189262136586
1	PSMA5	0.00026170611531984683
1	PDXDC2P-NPIPB14P	0.00026159063586537676
1	PIAS2	0.00026128314896976346
1	ATF6	0.0002608002246836694
1	REST	0.0002607383383331305
1	UBE2L6	0.00026053103596060997
1	ELAVL4	0.0002604636540576357
1	ST3GAL4	0.0002586411269895822
1	IL12RB1	0.00025762576365107693
1	TPTE	0.0002572235613592209
1	ITGB3BP	0.000257187028792616
1	GEMIN6	0.00025674748982959175
1	HSPA4	0.0002565700728294409
1	B4GALT6	0.00025629328860366207
1	ATE1	0.0002557356461896176
1	NDUFAF5	0.0002557079949976562
1	LTB4R2	0.0002556812082356626
1	YWHAG	0.0002555132988795137
1	P2RX2	0.0002546885863745665
1	FNTB	0.0002544621327872355
1	PIH1D1	0.0002544086954211845
1	OXTR	0.0002540316334936405
1	PRKCZ	0.0002538907827930022
1	PIM1	0.00025359474976060635
1	NAGLU	0.0002535741551032482
1	TXNDC17	0.00025342299783805416
1	CHST3	0.000253112282066508
1	LAMTOR5	0.00025310593714664354
1	YWHAE	0.0002530860357746823
1	YWHAB	0.00025307896241673095
1	CD14	0.00025300963938618034
1	AVPR2	0.00025293537334392834
1	DLX2	0.00025290899470361395
