multiplex	node	score
1	TP53	0.02407270239684156
1	MDM2	0.02378756433386027
1	EGFR	0.02372927559493912
1	BMI1	0.02360918252313568
1	H3-3A	0.023601313139478622
1	HRAS	0.023597806375657504
1	CDKN2A	0.023561441030132642
1	ERBB2	0.023549312580812023
1	PTEN	0.023519759610991217
1	NBN	0.02351428447882167
1	ATM	0.023507883491689818
1	ATRX	0.023494570235506825
1	PIK3CA	0.023469773810822325
1	CDKN2B	0.0234314770302676
1	BRAF	0.023423942475047112
1	FGF2	0.023420742827675846
1	NF1	0.023416893784900143
1	GDNF	0.023411563980005805
1	SPP1	0.023411428014682586
1	TNF	0.023409609673058537
1	ACVR1	0.02340756465377892
1	CHI3L1	0.023399014743104716
1	MGMT	0.02339807072420987
1	PTGS2	0.023387942376016307
1	XRCC1	0.023382260646253237
1	IDH1	0.023378878867368145
1	RTEL1	0.023372204352082458
1	TNFSF10	0.023370664108818367
1	PHLDB1	0.02334889051408895
1	CCDC26	0.023340821650880333
1	HSPA8	0.0010484973775375297
1	HNRNPL	0.00100327378294169
1	NTRK1	0.0009631350183719013
1	BANP	0.0009358526703768477
1	NOTCH2NLA	0.0009042193173981633
1	KRTAP10-8	0.0009041014607055733
1	KRTAP10-3	0.0009008366327157267
1	KRT40	0.0008995530717281613
1	KRTAP10-7	0.0008986485543395277
1	KRTAP10-9	0.000897858108773418
1	ADAMTSL4	0.0008959429646292649
1	IL13RA2	0.0008746468855565461
1	CALR	0.0008198774424350822
1	LGALS3	0.0008071519925129073
1	BABAM2	0.0007986877949462788
1	TMEM219	0.0007849708545947126
1	CD55	0.0007848020156445371
1	DDHD2	0.0007824124828111686
1	MTRF1L	0.0007816102615661214
1	XPO1	0.0007523021522685789
1	EGLN3	0.0006881090991531625
1	COPS5	0.0006833625305076226
1	RPS25	0.0006566630695689174
1	CCDC8	0.0006500274267493899
1	SH3KBP1	0.0006467352077640299
1	APP	0.0006449593856608349
1	MKI67	0.0006323821148875237
1	AKT1	0.0006163400447059233
1	BAG3	0.0006012494951353451
1	SRPK2	0.0005979958133620844
1	ESR2	0.0005743386130633573
1	MAPK3	0.0005691573972387546
1	GAN	0.0005543039876825059
1	SH3RF1	0.0005486649165109265
1	EP300	0.0005485619888361109
1	PLEKHH2	0.0005425228032562777
1	CUL3	0.0005212278281117224
1	RANBP9	0.0005151683966048827
1	SUMO2	0.000501099673630197
1	CREBBP	0.000497670997767084
1	ELAVL1	0.0004927731102757706
1	CSNK2A1	0.0004916264141470717
1	RPA1	0.00047490775895529965
1	PRKDC	0.0004717333177454626
1	TNFRSF1A	0.0004655525567493328
1	RET	0.0004643626793533367
1	CSNK2A2	0.00045447482889503015
1	MYC	0.000440479832739729
1	PAK1	0.0004396902889054771
1	XRCC5	0.0004390483500915206
1	ESR1	0.00043728788025558393
1	PRKCA	0.00043551605319039886
1	CASP8	0.00042637848098671854
1	HSP90AA1	0.00042266871038738386
1	XRCC6	0.00041785788135429504
1	SUMO1	0.0004149207499220181
1	PDGFRA	0.0004065953153115558
1	PARP1	0.0004023207355208039
1	MUC1	0.0003967209430301987
1	TRAF2	0.00039526246026056524
1	VCP	0.0003918888869048069
1	STK11	0.0003891820625705548
1	RASSF1	0.00038468691784973504
1	RPA2	0.0003838805567499959
1	S100A10	0.00037898566118197926
1	PTPRA	0.0003677845865506878
1	ARMC8	0.0003667101757147033
1	GFRA2	0.00036465305889407803
1	HSPA4	0.00036328417654316514
1	CDK2	0.00036104666782926987
1	CD44	0.0003610384854313326
1	RMND5A	0.00036000877827838503
1	NCAM1	0.00035846106478521845
1	CASP3	0.00035799453689580525
1	KSR1	0.00035738541031397707
1	PCNA	0.00035577027982571863
1	RANBP10	0.00035473535695319856
1	MKLN1	0.0003531309461799042
1	MAEA	0.00035259436004745265
1	TNFRSF10A	0.00035216996679328296
1	RAF1	0.00035194717524455023
1	MAP2K1	0.00035182476468749126
1	PRKACA	0.000351019854016793
1	NDUFS6	0.00034713064574402213
1	GID4	0.00034672018795188026
1	AGTRAP	0.00034654704526721744
1	YPEL5	0.00034607823596478926
1	GFRA1	0.0003451007605769179
1	PTPRE	0.0003411405316735274
1	SYP	0.00034056384275334747
1	HSP90AB1	0.00033800771494578555
1	H2AX	0.00033782528119730056
1	SCAMP5	0.00033764874391612365
1	CAV1	0.0003369470248098663
1	SOCS3	0.00033321954177505635
1	NCL	0.00033298565629622065
1	RPA3	0.00032987986548717714
1	PPP2CA	0.00032814709591792404
1	H3C1	0.0003276794062864506
1	TUBB	0.0003266156106970841
1	RIPK1	0.0003265642964866771
1	ACP5	0.00032515158573572693
1	EEF1A1	0.00032495566075715747
1	LRRK2	0.0003209111940792829
1	DAXX	0.00032032043657263034
1	SMAD4	0.0003169213463772645
1	CTNNB1	0.00031689918184077073
1	FGFR4	0.00031647677670845276
1	BRCA1	0.00031635416997102876
1	HDAC1	0.0003129752491301739
1	CD40	0.0003095919350114771
1	TOP1	0.00030788258972717594
1	HIF1A	0.00030584533935271207
1	NXF1	0.00030325012643507646
1	IGF1R	0.0003021957173807402
1	CALM1	0.00030174798591236704
1	RAD51	0.00030009038108843846
1	TNFAIP3	0.0003000615953840307
1	FADD	0.0002992788553125947
1	TNFRSF10B	0.0002893942368685169
1	HNRNPD	0.0002885438128513623
1	PLEKHA7	0.0002872210490045407
1	YWHAZ	0.0002871152244648223
1	MAP2K3	0.00028606926281738457
1	H4C16	0.0002857145437080216
1	ZDHHC17	0.0002824924755619925
1	CFLAR	0.00028190542227566175
1	LATS2	0.0002802461822709112
1	MCM2	0.000274823010211195
1	BID	0.0002730946508562388
1	RAD50	0.00027304222619595013
1	SSRP1	0.000272833626895719
1	POLD1	0.00027234023035620865
1	CASP10	0.00027139315508163344
1	EPHA2	0.00027126453247211724
1	IER3	0.00027061706179180075
1	MOV10	0.00026968103484606583
1	TNFRSF10C	0.00026956705234121065
1	TNFRSF10D	0.00026881598126008284
1	PKM	0.0002687966983027651
1	SNW1	0.0002678366829233144
1	IFNAR1	0.00026726603749047253
1	AURKA	0.00026714781585852676
1	PRKACB	0.0002669981300811726
1	RBM48	0.00026638945977759915
1	PML	0.00026572376201489844
1	IFNGR2	0.00026434882487745646
1	RNF8	0.00026243468588122966
1	TNFRSF11B	0.0002621287682320698
1	MSH2	0.0002593750291823323
1	ARAF	0.0002589811101201046
1	TRIM28	0.00025754893606821894
1	CDH1	0.00025746544851876896
1	TUBG1	0.00025520224162730063
1	SRC	0.00025353084708548056
1	MDM4	0.0002508264065344291
1	SP1	0.0002506046421889979
1	SMAD3	0.0002488097375767401
1	NRAS	0.00024610932404550137
1	GRB2	0.0002453843720140052
1	NF2	0.00024412191080287648
1	TRIM25	0.00024118899331946426
1	CUL4A	0.00024006920607271877
1	CCND2	0.00023953932782542302
1	SMC1A	0.00023423264808556602
1	WRN	0.00022955998010014368
1	ACTB	0.0002292346181426618
1	HSPA5	0.0002290357521150808
1	HDAC4	0.00022841576031938212
1	H3-4	0.00022734290523984953
1	MAP2K6	0.00022734121630769088
1	FBL	0.0002257287973091071
1	TMPO	0.0002236283945526405
1	PDGFRB	0.00022356901103913013
1	TP53BP1	0.00022337100249163826
1	MRE11	0.00022326104597450243
1	FYN	0.00022287542620428013
1	LMNA	0.0002196300077674629
1	FAF2	0.0002192049459884412
1	KAT5	0.0002185914890442729
1	DDX5	0.00021620958809487258
1	VIM	0.00021560248090798405
1	CUL1	0.00021559172192611858
1	AP2B1	0.0002155343128768132
1	ATR	0.00021494732085092463
1	BLM	0.00021429563791372074
1	YWHAQ	0.00021307262495290558
1	GLIS2	0.0002125082283562055
1	CDC5L	0.0002115155435662554
