multiplex	node	score
1	TGM1	0.023990539614245417
1	ALOXE3	0.02384164415787926
1	ALOX12B	0.023784788759080647
1	SLC27A4	0.023744442003255078
1	NIPAL4	0.023693672146379068
1	EBP	0.023590340984176075
1	MDM2	0.023488853756829353
1	GJB2	0.023454384474365167
1	ELOVL4	0.023421972921379902
1	STS	0.023407166832345182
1	TGM5	0.023397510467993377
1	FLG	0.023392959582846665
1	SGPL1	0.02339146912543758
1	CLDN1	0.023391306291538717
1	CERS3	0.02338863663741471
1	KRT14	0.02338187998979935
1	SNAP29	0.023379638922802266
1	KRT16	0.023379587127035032
1	ST14	0.023378612567142784
1	SDR9C7	0.0233782817005069
1	ALDH3A2	0.02337673823261141
1	CYP4F22	0.02337598738878845
1	AP1S1	0.02337495272701981
1	MBTPS2	0.02337399688651116
1	MPDU1	0.023371356728643242
1	VPS33B	0.02336381067945631
1	SUPV3L1	0.023360579692213695
1	PNPLA1	0.023357842804866635
1	ABCA12	0.023356483052453733
1	ANOS1	0.023355366603202296
1	NEK4	0.0023714370067045025
1	ABCA1	0.0023576751579175185
1	NR1H2	0.0023551000948340913
1	AQP6	0.0020409246081832784
1	TLCD4	0.0019384795120379738
1	ESR2	0.0018031559241158338
1	REEP2	0.0017737935993883834
1	MSMO1	0.0017654506080466484
1	JUN	0.0015025217288225574
1	ORMDL3	0.0012924891613994359
1	NEU1	0.001216795852426733
1	ZIC1	0.0012159935911724145
1	DPPA4	0.001212625946779321
1	SLC39A9	0.0012093528036364357
1	SYVN1	0.0011983295669762944
1	SLC29A2	0.0011804113549908572
1	FAM8A1	0.0011785400916792274
1	IL17RC	0.0011779067360115215
1	SARAF	0.0011769866256529742
1	PTPRE	0.0011760617372765867
1	ATF6B	0.0011734791157796435
1	PCBD2	0.001173114923216118
1	RNF4	0.0011478283269840818
1	TBC1D22B	0.0011058232499055506
1	NTRK1	0.001047873503187328
1	FTH1	0.000991145597078936
1	NPPA	0.0009513425045307856
1	AIRE	0.0009482086288129771
1	CCDC103	0.000946003263901468
1	NXF1	0.0009437724161932447
1	FN1	0.0009031615809380614
1	MOV10	0.0008762748618225212
1	ZSCAN12	0.0008601500620084941
1	PI4KA	0.0008481666571570107
1	HERC2	0.0008454453562113296
1	UBQLN1	0.0008389902483084161
1	TRIM25	0.0008276393771914105
1	FGFR1	0.0008179580989070718
1	EGFR	0.0008168679891690191
1	FGFR2	0.0008126279193329632
1	FGFR3	0.0008041404336832177
1	SDC2	0.000799830351651589
1	CCDC51	0.0007952205729691767
1	FGF2	0.0007913008416293348
1	DDX42	0.0007905685679491322
1	NCALD	0.0007861693779371157
1	CYLD	0.0007594931270836447
1	FCF1	0.0007389017967760133
1	RNF123	0.0007353982114300193
1	CCT3	0.0006757638305833314
1	B3GALNT1	0.0006719254863448812
1	CCT2	0.0006718619962407364
1	HSCB	0.0006568520822231726
1	NIF3L1	0.0006517173623979993
1	GPR152	0.0006508768631730023
1	UBR4	0.0006497161498548742
1	CCT6B	0.0006489940995334537
1	UBAC1	0.000647147408463492
1	TXNDC9	0.0006447505096841064
1	HBB	0.0006432213855922968
1	PDCL	0.0006414039859323833
1	TMEM160	0.0006401324090965583
1	LHFPL5	0.0006253759826472239
1	HNRNPA1	0.0006243200664051868
1	LMNA	0.000620551173432303
1	GMCL1	0.0006097930280745723
1	CREB3	0.0005923190138663546
1	SPICE1	0.0005822108614637517
1	HSPD1	0.0005735816755439421
1	CCDC27	0.0005635654562867356
1	ELAVL1	0.0005550061198587199
1	FFAR2	0.0005546252137870851
1	SSMEM1	0.0005533080915957824
1	VAV1	0.0005492520113359083
1	PLK2	0.0005451098853797662
1	HSF2	0.000545084707374843
1	RBFOX1	0.0005440067243115221
1	CXCL1	0.0005418727424884607
1	GJB1	0.0005339700297429796
1	TRHR	0.0005276540795127012
1	RPS3A	0.0005229371849932286
1	MANBAL	0.0005223664571186002
1	CUL3	0.0005194882930929005
1	SLC1A5	0.0005134450157842712
1	CLN6	0.0005129486227618337
1	PMVK	0.0005096189572242549
1	SHBG	0.0005082482477866626
1	MORF4L2	0.0005071974010506049
1	LSM1	0.0005046615139107299
1	QRICH2	0.0005020273603538704
1	KIR3DS1	0.0004871682090482372
1	PATJ	0.00048360734506727135
1	SNW1	0.0004811086833933669
1	CDC5L	0.0004788849459263227
1	MMP14	0.00045715559450926435
1	LNX1	0.00045636454402753223
1	KRT5	0.00045004331175659386
1	XPO1	0.0004455192236503006
1	HSPA8	0.0004428509010116153
1	SUMO2	0.00044190804697232124
1	UBB	0.0004417987972395358
1	EGLN3	0.00044041201462849763
1	HNRNPL	0.00043573277671316355
1	COMT	0.00043332188504835255
1	CLDN7	0.00043316179238835637
1	APC	0.000426734173915442
1	APP	0.00042376359083408046
1	TM4SF18	0.0004165461975091185
1	MAPK6	0.00041594602861002667
1	SLC25A3	0.00041408441711705113
1	CD79A	0.00041095273741598615
1	LARP1	0.00040992615696415534
1	KANK2	0.00040822820770869417
1	DOCK7	0.000407735225716347
1	CMTM2	0.0004077323506081687
1	GPANK1	0.00040647108995888186
1	AP2M1	0.00040601147926765525
1	RNF19B	0.00040567088382561286
1	LGALS7	0.00040526092168541474
1	RNF185	0.0004046436590382317
