multiplex	node	score
1	C8A	0.026357537907767917
1	C5	0.025407958527566124
1	C3	0.024893266015819236
1	C8B	0.024666887419243225
1	RAG1	0.02436269060554855
1	C9	0.024246653256923385
1	CACNA1C	0.024036609788307604
1	CFH	0.023735007264189336
1	PIK3CD	0.023655765169124297
1	ZAP70	0.0236285534114565
1	RASGRP1	0.02360071418490505
1	RAG2	0.023566109708731974
1	CD40LG	0.02354483670136599
1	C1QB	0.023521256847938002
1	CFD	0.023504978488086116
1	CD3E	0.023491601498572264
1	CD19	0.02347947376292193
1	ATM	0.023456722390552204
1	FCN3	0.023455510972693213
1	C4A	0.023435146422301184
1	BLM	0.023402772576029334
1	MAGT1	0.023392627469275475
1	CD36	0.023381468723799363
1	LEPR	0.023380546782388243
1	TERT	0.023378797994294414
1	DNMT3B	0.02336633292625554
1	NBAS	0.02336536071144278
1	CHD7	0.02336248710864195
1	EPG5	0.023354671042575256
1	MYSM1	0.02334733954645858
1	PTX3	0.007737917158642368
1	ATF7IP	0.007041444049675936
1	CLU	0.0031973986932896698
1	C8G	0.002733392124369344
1	FN1	0.0023703211783000075
1	CD59	0.0019291371140846827
1	LOC100290337	0.0014029291675279696
1	DCAF1	0.0013307996247688373
1	KPNA1	0.0012537292101806243
1	MMGT1	0.0012406034800702933
1	ALB	0.0012035790004075208
1	ESR2	0.0011203237825275069
1	VHL	0.001118342653138141
1	PRKDC	0.001092973550952338
1	PLCG1	0.0010889025257073408
1	SKP2	0.0010597624229755232
1	APOE	0.0010568521084934161
1	LAMTOR5	0.001052121967921172
1	CST6	0.0010453900366471562
1	IPO5	0.0010218142397345887
1	GRB2	0.0009672656596227046
1	SOS1	0.0009477582158247162
1	GPR152	0.000909007130340991
1	DGKZ	0.0009052240271566729
1	SLC7A1	0.0008998736482390403
1	SLC10A1	0.0008986319705283289
1	GOLT1A	0.0008834735053838771
1	H3C1	0.000844273437825647
1	LMNA	0.000835442846333139
1	HRAS	0.0007715986265937497
1	SUMO2	0.0007680129589763228
1	FYN	0.0007563135086321386
1	SRC	0.0007520143380883767
1	APP	0.0007502342782323364
1	MRAS	0.0007358089724376099
1	PLG	0.0007299569245977906
1	TP53	0.0007233566954710665
1	NOTCH1	0.000699103319829139
1	PRKCQ	0.0006743651192801263
1	EGF	0.0006664809670228179
1	SERPINE1	0.0006644505941315822
1	PPM1B	0.0006532825690407086
1	SERPINF2	0.0006531227661003592
1	F8	0.0006509558873239802
1	H2AC20	0.0006496776236456263
1	CACNG2	0.0006494887404846883
1	ABCB8	0.0006471239082774252
1	HDHD2	0.0006469739321396567
1	SKOR1	0.000644401863272611
1	APOA1	0.0006324352860595967
1	MYC	0.0006241978351225326
1	UBC	0.0006072824179558845
1	CAND1	0.0005873329495313223
1	PIK3R1	0.0005790374269783741
1	NCK1	0.0005674945841346638
1	THBS1	0.0005665288175123564
1	TRAF2	0.0005513614543304378
1	PIK3R2	0.0005462926361568242
1	IGHG1	0.0005392525923531953
1	NTRK1	0.0005385536712715849
1	TRAF1	0.0005315095796704848
1	ABL1	0.0005288945491434543
1	BIRC2	0.0005282693691931726
1	IGKC	0.000520654728520549
1	CD40	0.0005175197923326938
1	CRYAB	0.0005156154315377463
1	BIRC3	0.0005137184493565841
1	HSPA1A	0.0005088169446362291
1	HPR	0.0005085539187715264
1	RNF128	0.0005067485397027043
1	EEF1A1	0.0005062061999145448
1	CD5L	0.0005045322150304985
1	C1R	0.0005027289915260303
1	LYN	0.0004993469559098831
1	EED	0.0004992411522279008
1	JAK3	0.000499201095027869
1	HSP90AA1	0.0004960511738859176
1	CD9	0.00048355346841230906
1	HSCB	0.0004804152844116965
1	C2	0.0004784851888744225
1	SYK	0.0004763772946686681
1	CBL	0.00047206372217630996
1	RELA	0.0004713591043900252
