multiplex	node	score
1	STAT3	0.02624361143982568
1	NOD2	0.02513424659282661
1	IL10RB	0.025104655296002153
1	ATG16L1	0.025024331441795878
1	IL10RA	0.0250154828501943
1	IL10	0.024745353858136792
1	ICAM1	0.024450983223026065
1	TNFSF15	0.024412939172331706
1	IRGM	0.024381675896085295
1	XIAP	0.0242947071855404
1	IL23R	0.024275953781299528
1	CARD9	0.02427411711214726
1	IL18RAP	0.024265889470361554
1	APC	0.0242546807503967
1	DEFA5	0.02423681216230076
1	TGFB1	0.024229487170245034
1	IL2RA	0.02422247725378603
1	TNF	0.024215477213820287
1	PLCG2	0.024214662149857763
1	SFRP2	0.024211314709309758
1	MAGI2	0.024204350325070303
1	ITGA4	0.024203327365092085
1	IL6	0.02419296492911843
1	PTGS2	0.024186754400334732
1	RASSF1	0.024174103831666488
1	PTPN22	0.024173014669946376
1	INAVA	0.024168028448198698
1	APC2	0.024160872114826648
1	MUC19	0.02414384923483307
1	RNF123	0.003857321124453218
1	TNFRSF25	0.003668425616830951
1	TNFRSF6B	0.0036659499477561448
1	RPTOR	0.0036466610201192125
1	JAK2	0.0019326685420368635
1	APP	0.0019323961127286496
1	PIGA	0.00152447426755499
1	PIGH	0.0014800422748526788
1	IL18	0.0014693902302530472
1	CD48	0.0014625590374198168
1	IL12RB1	0.0013463564471269292
1	IL12B	0.0012835122108444405
1	IL23A	0.0012639919670663679
1	C1D	0.001217001971875843
1	NOD1	0.000993946893659864
1	CEBPB	0.0009615056684039923
1	RELA	0.0009065737533842609
1	NFKB1	0.0008990002300628192
1	BECN1	0.0008904351126070376
1	ULK1	0.0008682315992474551
1	CBL	0.0008295062696005118
1	PTPN6	0.0007789533980744578
1	CFL1	0.0007581579164830301
1	CDH1	0.0007574583439141883
1	AMBRA1	0.000755282278827392
1	JAK1	0.0007454248917285581
1	TLR3	0.0007433678235162281
1	RIGI	0.0007401691116719412
1	ATG14	0.0007365164541133926
1	CTNNB1	0.0007172797680338434
1	CBLB	0.0006718581884380061
1	SOCS3	0.0006582706719647054
1	SOCS7	0.0006428818032648701
1	TYK2	0.0006423634513577775
1	SOCS5	0.0006312075969265796
1	SOCS1	0.0006309346809654627
1	SOCS2	0.0006278938745257413
1	SP1	0.0006251438371256327
1	CBLC	0.0006200640327528385
1	KRTAP10-8	0.0005937064157969961
1	GSK3B	0.0005719249652830067
1	GHR	0.000561978073152678
1	GRB2	0.0005597720835926409
1	CEBPA	0.0005514104383766764
1	BTRC	0.0005489427062244447
1	KRTAP1-3	0.0005355712672711725
1	DVL2	0.0005329255071428562
1	A2M	0.0005322405589579269
1	GLRX3	0.000522279722834862
1	NOTCH2NLA	0.0005205810624683805
1	YY1	0.0005104971756034322
1	NBPF19	0.0005097678992150038
1	IGHG1	0.0005042011560178069
1	ELAVL1	0.0005040977061967257
1	KRTAP4-1	0.0004968972627335558
1	PRKCD	0.0004668545393580285
1	IL6ST	0.0004617414654597242
1	EGFR	0.0004470568599454329
1	ZBTB16	0.00044474130982554403
1	OSMR	0.0004390960584529413
1	CNTFR	0.00043561085307594816
1	VCP	0.00043525970410543435
1	NR3C1	0.0004319161490899955
1	LIFR	0.00042335466641946527
1	JAK3	0.000422542185400411
1	ACTA1	0.0004219021710019524
1	CUL1	0.00042179910685613315
1	IL22RA1	0.0004202408712105613
1	FAM20C	0.00041532908215842555
1	SOS1	0.00041077098067302214
1	IL6R	0.0004093380917242466
1	SH3GL2	0.00039740174532147524
1	RBPJ	0.00039329442153117675
1	OSM	0.00039318692805502656
1	CEBPD	0.0003888055050334179
1	STAT1	0.00038666367489301185
1	HRH1	0.00038537383318663036
1	PTHLH	0.00038328730564066545
1	FN1	0.000369110824858084
1	PRKCA	0.00036231741338700764
1	IL22	0.0003623033281942063
1	C1QL4	0.00036072659672217137
1	AXIN1	0.00035798240422260923
1	IL22RA2	0.00035726471121000727
1	YBX1	0.0003567984262602507
1	STAT5A	0.0003532915942942858
1	UBE2D1	0.00035185110943868547
1	ERBB2	0.00035033406500324557
1	MAP3K5	0.0003498289360831734
1	STAT5B	0.0003451305841023288
1	PRKCG	0.00034313664409821754
1	TRIM27	0.0003392534269715499
1	NTRK1	0.00033651329565063254
1	HSPA4	0.0003334086770185241
1	IFNL2	0.0003317914237045219
1	UCN3	0.0003316469022247319
1	UCN2	0.0003310384752944406
1	HGS	0.0003283223103792104
1	IFNL3	0.00032758250315243333
1	MAPRE1	0.00032640103078366195
1	REL	0.00032523479627139
1	AXIN2	0.0003250549002752809
1	RBX1	0.0003239065780290546
1	IL2RB	0.0003231833761255344
1	STAT6	0.0003215513959491203
1	TRIM25	0.0003178369099835285
1	DVL3	0.0003167691445742403
1	STAT4	0.00031369145364221765
1	XPO1	0.0003135727363705573
1	CD4	0.00031079372472482455
1	PRKCE	0.00030992406906779385
1	NEK4	0.0003095799794031159
1	PRKCZ	0.0003091336845753254
1	FBXW11	0.0003073905122389591
1	CALR	0.0003069985056082372
1	IKBKG	0.000297468371410344
1	RPS6	0.0002965094260166083
1	PRKCB	0.0002965013426418417
1	VIM	0.0002964284572542632
1	TP53	0.00029551959235899963
