multiplex	node	score
1	F2	0.02420189090676958
1	PLAU	0.024126084260720795
1	PLAT	0.024119648792498755
1	DMD	0.024005805005998693
1	SERPINE2	0.0238589859837859
1	MMP9	0.02377582860970695
1	NTN1	0.023601270203028622
1	MYLK	0.023583319882145105
1	F2R	0.023574663961304025
1	GFAP	0.02351409733500852
1	IL18	0.023479425889830152
1	C5	0.023471859603087546
1	MYL9	0.023458680281986874
1	AQP4	0.023450200194336468
1	TNF	0.02343751167534883
1	S100B	0.023427138211831167
1	ICAM1	0.02342099758297212
1	AQP1	0.02341333739513982
1	CRP	0.023412959127381082
1	CACNA1A	0.02341013622672728
1	EDN1	0.023409888879439664
1	NOS2	0.023404758343307706
1	ABCC8	0.023404282587078332
1	CP	0.023395623147454376
1	CXCL2	0.023391013842456985
1	VEGFA	0.02338788051831168
1	NPPB	0.023386640850672172
1	HMOX1	0.023382802857976923
1	AVPR1A	0.02338052767805252
1	SLC7A11	0.02335742193671306
1	PRKCA	0.0029743699150648695
1	GRK5	0.0019270236620914309
1	HNRNPL	0.0019094232214304663
1	VIP	0.0017727695069593742
1	AVP	0.0017672388041381464
1	PLG	0.0014269555361639806
1	F2RL1	0.0009505231403037386
1	ANK2	0.0008937673748906769
1	FN1	0.0008751752345719685
1	ELAVL1	0.0008524724091257034
1	NEO1	0.0008473023292812611
1	RNF4	0.0008460735383636077
1	UNC5B	0.0008156219555764659
1	CREB3	0.0008121020460888817
1	DCC	0.0008117544184820972
1	DRAXIN	0.0008083634190610584
1	KCNJ11	0.000801731475289672
1	KCNJ8	0.0007976516487536432
1	HMGA1	0.0007975733779478098
1	ADORA2B	0.0007933239305825122
1	UNC5C	0.0007917679018108712
1	NEUROG3	0.0007916693552973959
1	UNC5A	0.0007913143912823584
1	CD44	0.0007896608940563089
1	RAPGEF4	0.0007865071886045687
1	ENSA	0.0007845810812701925
1	CRYBB1	0.0007815708186992591
1	DPP4	0.0007801315652449666
1	KEL	0.0007401140374103471
1	SLC3A2	0.0007374053945083262
