multiplex	node	score
1	ACTB	0.024660264238710428
1	EGFR	0.02446102524886332
1	IGF1	0.024148624428914266
1	IGF2	0.02412537147582824
1	IGFBP2	0.023823345300059313
1	ESR1	0.023746257911519148
1	EGF	0.023742665153396653
1	HES1	0.02369539951710504
1	MMP2	0.023691422740783254
1	YWHAZ	0.02365680224982537
1	CTNNB1	0.023644077435054145
1	MAPK1	0.023592712335180656
1	TIMP3	0.023538014619378055
1	PLAU	0.02353659052706302
1	TSC1	0.023497371068311863
1	MTOR	0.023490625781993412
1	PTGS2	0.023478918473419735
1	JAG2	0.02347675902584886
1	TSC2	0.02345709808624215
1	TNF	0.023447546119383718
1	RPS6KB1	0.023444185709551143
1	REN	0.02342871321633427
1	VEGFA	0.023426583589398062
1	A1BG	0.02342557564330677
1	VEGFD	0.02340426095103415
1	SRF	0.023401203359941704
1	ACE	0.023390060856766818
1	TESC	0.023379246852821216
1	VEGFC	0.02337876364173355
1	SLC12A3	0.023374779871771362
1	ITGB1	0.0022414111393624587
1	IGF1R	0.0018952835143798568
1	KDR	0.0017954542995942552
1	MET	0.0015621018959169144
1	FLT4	0.0015393472644325385
1	FLT1	0.0015380552005460105
1	AGT	0.0012778586227990896
1	ITGA9	0.0012602607821832234
1	F8	0.0012345521337257552
1	TF	0.0011908257232635248
1	HNRNPL	0.0011483128257369108
1	HSP90AA1	0.0010423559152594262
1	DEFA1	0.0009766506560623474
1	SLC9A1	0.0009640475201274549
1	CTSB	0.000928574323477233
1	APP	0.0009074563855579422
1	LMNA	0.0009070542540141247
1	CSNK2A1	0.0008991538765264378
1	LPAR1	0.0008977749418187946
1	IPPK	0.000893576115248548
1	HMG20A	0.0008928022189671821
1	AGTR2	0.0008882889561060407
1	WBP11	0.0008839285393440259
1	DYNLT3	0.0008839139737120461
1	RAI1	0.0008829503098642809
1	CCDC91	0.0008805386724415393
1	SGTB	0.0008321393635400609
1	ITGA5	0.0007713347378850848
1	EWSR1	0.0007696975279588424
1	ELAVL1	0.0007652660119193352
1	EGR1	0.000753651047051248
1	MYH9	0.0007391693452306144
1	GSDMB	0.0007293013355475169
1	KLK2	0.0007276778197067878
1	INO80B	0.0007226571285820261
1	UBR4	0.0006917944492480043
1	IGFBP1	0.0006908908316723829
1	PLG	0.0006848948274421468
1	KCMF1	0.0006800548260175605
1	PDGFRA	0.0006545181557023322
1	CD247	0.0006517950577543504
1	HSPA8	0.0006515758081013632
1	INSR	0.0006478585901863399
1	BDKRB2	0.0006474514846224794
1	COMT	0.000646215369323061
1	MAPK3	0.0006411654813969133
1	TRIM25	0.0006319761368260623
1	NEDD4	0.0006303593626374089
1	ATP6AP2	0.0006093886511518836
1	ATF1	0.0006036561015961811
1	PCSK1	0.0005982912132266782
1	HSPA1A	0.0005964524960634653
1	PCSK5	0.0005925137786690953
1	RNF123	0.0005923319337244592
1	PDIA3	0.0005908182601665443
1	M6PR	0.0005894421752447021
1	KCTD15	0.0005881087348391487
1	BMT2	0.0005879783554446934
1	RENBP	0.0005879284042307687
1	CCDC24	0.0005877106841065063
1	TMEM184B	0.0005874387358835187
1	HIF1A	0.000576143287218745
1	STUB1	0.0005687069180725093
1	IGFBP3	0.0005650160115686284
1	AKT1	0.0005625663470991804
1	MMP9	0.0005442672964258619
1	IGFBP7	0.0005437927361418501
1	OXSR1	0.0005407157162371708
1	PRKCA	0.0005389844213026673
1	STIP1	0.0005340581340996014
1	SUMO1	0.0005325124096942225
1	STK39	0.0005243134638654353
1	WNK4	0.0005237890928271546
1	FN1	0.0005204349547946622
1	DNAJB1	0.0005203130832949165
1	KLHL3	0.0005108881053397826
1	HAVCR1	0.0005037142457411857
1	DCN	0.0004991296337837005
1	VTN	0.000494652107117856
1	NOTCH1	0.00048208521367440086
1	MMP14	0.0004818144093399243
1	PTK2	0.00047995012079817424
1	SRC	0.00047644106494844005
1	PIK3R1	0.00046579363880837804
1	YWHAB	0.0004609669674212798
1	IGFBP5	0.00045906038124709104
1	ERBB2	0.0004550653348138836
1	HSPA4	0.0004550127879298116
1	IGF2R	0.0004456877822427928
1	TP53	0.00044520719832287015
1	CCN3	0.0004441380305781578
1	IGFBP4	0.0004433179744379235
1	IDE	0.0004416942879086283
1	IGFBP6	0.00044113379561046674
1	TK1	0.00043801948462932636
1	NOTCH3	0.0004367031087354494
1	NOTCH2	0.0004328597516010171
1	SOS1	0.0004327205456231177
1	JUN	0.00042249619739082695
1	JAG1	0.00042061874912830896
1	CDKN1A	0.0004172119256092771
1	PLAT	0.00041703613744346625
1	RPS6KA1	0.0004117039257992655
1	DLL4	0.00041114417243963994
1	ATP5F1B	0.00040319095598323506
1	SHMT2	0.000402785151842139
1	ADAM9	0.00038841118467634173
1	SNCA	0.000377419076327952
1	ESR2	0.00037189965299268274
1	VAMP3	0.00036715037729801147
1	VIM	0.00036355557821034115
1	GRB2	0.0003633284184824189
1	EP300	0.00036209536575275257
1	BIRC6	0.0003596563283549084
1	TUBB8	0.0003588584163798512
1	HNRNPD	0.0003574919330481876
1	FLNB	0.0003569639423199972
1	OAF	0.0003554916641990377
1	ZER1	0.00035462338114087053
1	MOCS3	0.0003530179534094774
1	ANXA7	0.00035260351966629074
1	SMN1	0.00034945050916387584
1	ASGR2	0.00034929685022951133
1	TMEM17	0.00034745131981303524
1	MYC	0.000346701749778731
1	RPS6KA2	0.00034663254954056186
1	BAG6	0.0003464264864122296
1	TIMP2	0.0003418832882904886
1	GSK3B	0.0003369671027484693
1	GRB7	0.00033503472607162037
1	CAV1	0.0003349757758139099
