multiplex	node	score
1	SMO	0.024504183107996357
1	ESR2	0.02397643086701714
1	MYC	0.02392834918239585
1	CTNNB1	0.023837625056533612
1	STAT3	0.023834602936596633
1	DNMT1	0.023752282758258796
1	PTCH1	0.023737719279884727
1	ERBB2	0.023703091370645232
1	BRCA2	0.023664891699782007
1	PTCH2	0.023658930080676557
1	ATM	0.02361612120257313
1	CDK6	0.02357856217972699
1	APC	0.02357807540227743
1	OTX2	0.023552958534536168
1	S100A10	0.02348627044928692
1	RASSF1	0.023473071587574206
1	PDGFRA	0.023472818419870582
1	PALB2	0.02344587120525553
1	PMS2	0.02344520660221157
1	HIC1	0.023436688477807974
1	SUFU	0.02342052481782224
1	MYCN	0.023417467709158726
1	AXIN1	0.02341257943722426
1	NBN	0.02341031443267737
1	PIK3CG	0.02340500685301368
1	S100A4	0.023401271214279096
1	BRD4	0.023396041379004986
1	KDM6A	0.023378899587112156
1	PRAME	0.023377968993140298
1	ATOH1	0.023364904321046986
1	TRIM25	0.0016535690364461225
1	ARRB1	0.0013061287058319904
1	USP15	0.0011601427514133832
1	DHH	0.0010632408101523445
1	IHH	0.0010624121367260543
1	SHH	0.0010615700208361485
1	BRCA1	0.0007845215665835319
1	SP1	0.0007528552523621068
1	TP53	0.0007279901075763843
1	SMARCA4	0.0006895307180768512
1	SIRT1	0.0006525506919238775
1	HDAC1	0.0006385115688423951
1	H3C1	0.0006139696134008077
1	AKT1	0.0006068783183270557
1	SUMO2	0.0006040258371732482
1	NTRK1	0.0005626210012622384
1	NEDD4	0.000561823189543376
1	MDM2	0.0005278341593727232
1	EZH2	0.0005164177932151579
1	AR	0.000503677586842956
1	H2AX	0.0004965665503662807
1	PCNA	0.000486999520684546
1	MOV10	0.0004839704463576959
1	EGFR	0.00047444863408145177
1	SUZ12	0.0004697849669680395
1	MEOX2	0.00046587027113892296
1	XPO1	0.00045033908772051375
1	H3-4	0.0004465002731829404
1	ELAVL1	0.0004420761121539183
1	GRB2	0.0004317847851881134
1	PRKDC	0.00042835259231186926
1	DNMT3A	0.00042749243404642876
1	HUWE1	0.00042505150214186354
1	POU5F1	0.00042502822940404436
1	LMNA	0.0004238070056854213
1	APP	0.00040997334228101955
1	GSK3B	0.0004073816002910735
1	PIAS2	0.0004037502935267673
1	RNF4	0.00039539052818879345
1	PIAS1	0.00039513303240990623
1	SKP2	0.00039485593774339693
1	KDM1A	0.00039462510933622785
1	HNRNPC	0.0003929526032422897
1	CDK4	0.0003918056571214332
1	CDK2	0.00038146639020562363
1	HDAC2	0.00036935089549410704
1	CUL3	0.00036858390094287235
1	KAT5	0.0003657994508102412
1	PTK2	0.00036267482018462595
1	AURKA	0.00036078634080704273
1	EGLN3	0.0003590259647380475
1	WDR5	0.0003581802499352818
1	CDKN2A	0.0003576962918073833
1	JUN	0.00035087571475014666
1	HNRNPL	0.0003460782085705259
1	RARA	0.0003437811368848469
1	TRRAP	0.0003398534973207401
1	TP53BP1	0.0003395872874171333
1	HDAC4	0.0003360486855923558
1	CTBP1	0.00033200717334493795
1	PPP2CA	0.0003314650294591799
1	XRCC3	0.0003301863442229964
1	GABARAPL2	0.0003237511266228895
1	BTRC	0.00032375098148838035
1	DAXX	0.0003204868698762191
1	BRIP1	0.0003197333572624799
1	H4C16	0.00031943759566381054
1	RFC4	0.000318503270363154
1	STK36	0.0003177267344163076
1	NPM1	0.0003158455467658717
1	RB1	0.0003151977298566925
1	SLC41A3	0.00031497306860928413
1	EED	0.0003134862909726601
1	USP11	0.0003106096133415194
1	LOC100290337	0.00030898038197025847
1	SNAI1	0.0003029380735770898
1	MATR3	0.00030220499325593896
1	H2BC21	0.00030170838562534815
1	SRC	0.00030168959995528354
1	RFC2	0.0002995276120093668
1	RBBP4	0.0002974826878937098
1	EP300	0.0002954332316653427
1	CSNK2A1	0.0002938786144440287
1	ARRB2	0.00029231071920661646
1	MBD3	0.000290090648247367
1	EFTUD2	0.0002876846091296708
1	TP73	0.00028523776192234025
1	SMAD3	0.00028392499614913276
1	SETDB1	0.00028355384080709244
1	YWHAZ	0.000283168661579618
1	H2BC8	0.0002823548927738838
1	ITCH	0.0002818926636259037
1	UBR5	0.0002805644391447881
1	MTA1	0.0002805536870222806
1	RAD51	0.00027994757343029983
1	NAT2	0.00027896611909483004
1	DNMT3B	0.00027707938997338476
1	FYN	0.0002768574798153382
1	RELA	0.00027495954930094053
1	SUV39H1	0.00027472514536720365
1	BACH1	0.0002745400041581415
1	GOLGA2	0.0002723985607719447
1	UBE2I	0.00027172155390608896
1	SMAD2	0.00027139278516641075
1	CDK9	0.0002658815166683662
1	USP2	0.00026552471738373293
1	H3C14	0.00026520599476763114
1	ILK	0.000264867651272591
1	STK11	0.00026474247087524905
1	ASH2L	0.00026465756353112987
1	PSMD2	0.0002635598478983332
1	PSMC2	0.00026349329205929743
1	CUL1	0.0002629414197125469
1	PAXIP1	0.00026257132624909205
1	CCNE1	0.0002625301800099859
1	CHD3	0.0002615427377624723
1	SMURF1	0.00026014938749700393
1	MSH2	0.0002596976203112472
1	TCF4	0.0002594599590536535
1	RPA2	0.00025781592486623936
1	SENP3	0.0002557794869316786
1	ANXA2	0.00025482888633902395
1	KEAP1	0.000254332794082204
1	PRMT1	0.0002526545649358183
1	PIK3R1	0.0002522574362729833
1	TCF7L2	0.0002521812775761325
1	USP7	0.00025195544420338707
1	ATR	0.00025130695912165105
1	EEF1A1	0.00025115001928067645
1	MLH1	0.00025100361947836376
1	BCL6	0.0002508013063304428
1	NXF1	0.00025017123576899383
1	RBBP8	0.0002496982311473008
1	LATS2	0.00024920691876747163
1	FGFR4	0.0002479550085839545
1	CSNK1A1	0.000247849161287483
1	CSNK2A2	0.00024616906596711845
1	IQGAP1	0.0002458248975640483
1	MET	0.0002449745059958463
1	FOXA1	0.00024489532665045074
1	LOC100293888	0.0002443904987952596
1	YWHAQ	0.0002432911667801883
1	KMT2C	0.00024259693974258988
1	CTBP2	0.00023760690094458024
1	PIAS4	0.00023692040345936675
1	RPN2	0.00023658173263039993
1	NEK4	0.00023618365517277253
1	RAF1	0.00023551761853962268
1	HSPA5	0.00023521406412931332
1	CHD4	0.00023502594270811375
1	EYA2	0.0002344089187272632
1	CDC5L	0.00023397473577641237
1	PIAS3	0.00023355001413110927
1	PRKN	0.0002331727296569812
1	SMARCB1	0.00023243282501030142
1	NF2	0.00023184109475507333
1	RNF2	0.0002314444578508962
1	FKBP8	0.00023077268110014318
1	MAPK3	0.0002301688680758872
1	MSH6	0.0002286985681349822
1	TRIM28	0.00022737615705977363
1	COPS5	0.00022714003583371718
1	RPA1	0.00022701140835237267
1	TUBA4A	0.00022689006803709223
1	CCND2	0.00022688822413875588
1	NGFR	0.00022574225152804746
1	RASA1	0.00022486755141680063
1	HIF1A	0.00022469123712820006
1	ENTREP3	0.00022467607814270795
1	C4orf3	0.00022351514839461146
1	TUBG1	0.00022312644338076435
1	TIMMDC1	0.00022295954956577663
1	HMOX2	0.0002226879698281224
1	FZR1	0.00022242478659084602
1	MORF4L1	0.00022208614365222168
1	C18orf32	0.00022172042796247436
1	NGEF	0.00022106678241280196
1	HMOX1	0.0002206824310299041
1	NDFIP1	0.0002204953722169324
1	TMCC2	0.00021973953417963677
1	GABBR1	0.00021934631175329368
1	FBXW7	0.0002192594763268263
1	MORF4L2	0.00021881289142958594
1	EPHA2	0.00021876346063598798
1	ITGB1BP1	0.00021872382113824219
1	ARV1	0.00021821710935228037
1	TSPAN7	0.00021802957796325005
1	WLS	0.0002178764768980545
1	TOPBP1	0.00021785126739640553
1	HMGN4	0.00021757724698420243
1	EMC10	0.0002175343345652813
1	LEPROT	0.00021721286598062363
1	S1PR5	0.0002171732492074633
1	FBXO7	0.00021714918526450383
1	SSPN	0.00021714016692010707
1	JPH3	0.00021710447432203285
1	NIPA1	0.00021684228943111985
1	PLPP7	0.000216414377569325
1	ARID1A	0.0002158031228852856
1	CRBN	0.0002157983458481429
1	TRIM27	0.00021562096739426466
1	ATF2	0.000215465210885753
1	ABL1	0.0002151975850767772
1	AARSD1	0.00021370809417677942
1	PARP1	0.00021357943595185473
1	SOX2	0.0002135064832513253
1	ATXN1	0.0002132055776348096
1	PDS5B	0.00021300295381084783
1	PTPN11	0.00021232445757084328
1	YBX1	0.00021070714173484391
1	XPA	0.00021046837628125535
1	ESR1	0.00021004436419805043
1	PHF19	0.00020972878407565665
1	PHF1	0.0002095881129961937
1	CSNK1D	0.0002083028178083926
1	POLH	0.00020812710754002849
1	ZNF281	0.00020775717105023708
1	FLNA	0.00020770899648214108
1	MECOM	0.0002076507729567221
1	BECN1	0.00020711108281944315
1	HNRNPM	0.00020680736388874483
1	RNF168	0.0002067428255338558
1	HIC2	0.000206502957604649
1	CSNK1E	0.00020605962158370736
1	POLN	0.00020591976302015185
1	MAP2K3	0.0002058667745777686
1	CDKN2B	0.00020535318359395107
1	HSP90AA1	0.00020483979417624886
1	RBBP5	0.00020366820137650372
1	TNF	0.00020366034467711114
1	ERCC5	0.00020284716004725635
1	RAD51C	0.00020257028694864112
1	UBC	0.00020081905782381475
1	ERRFI1	0.00020066234970498486
1	CRK	0.00019962122835154972
1	ERBB3	0.00019921045970305523
1	PIP4K2A	0.0001987869100127679
1	LRPPRC	0.00019865733703223698
1	TGFBR1	0.00019850851114910838
1	IL24	0.00019811866558809668
1	GRM1	0.00019796696954263316
1	CUL2	0.0001977838795423753
1	PPP2CB	0.00019686103186805965
1	SNW1	0.00019640579361505022
1	MDC1	0.00019616078488952086
1	TERT	0.0001956359469494658
1	RFC1	0.00019559420812653938
1	NONO	0.00019552624416415443
