multiplex	node	score
1	TNF	0.04836297747746587
1	TNFRSF1A	0.04729419673832568
1	FASLG	0.04703431412845308
1	FAS	0.046986193346231456
1	BRCA1	0.04692869786810168
1	C5	0.04690805795827294
1	F5	0.04687089218511898
1	JAK2	0.04685451146226279
1	MVK	0.04682788680536117
1	GSK3B	0.04681640232176771
1	RIPK2	0.046801486711483445
1	TMEM67	0.04677816015854147
1	CFB	0.04677315712393096
1	IFNG	0.046747515550112285
1	MEFV	0.04671087845510578
1	RELA	0.0022678940942939974
1	SP1	0.0016581302238069195
1	C3	0.001643808822798303
1	NFATC1	0.0015867887157765452
1	IFNGR2	0.0015101241891427913
1	STAT6	0.0015057671936406852
1	IFNGR1	0.0015046439424323047
1	POT1	0.0014519291170449237
1	TFAP2A	0.001439586794313132
1	PDIA3	0.001423691245804653
1	GOPC	0.0014193972715061556
1	FN1	0.0012037517854714488
1	DDX19B	0.0010060975813158987
1	ALB	0.000980794816154111
1	RPA2	0.000980619672979717
1	NME2	0.00095679430902335
1	H1-1	0.0009561903155620198
1	GDPD1	0.0009553857723731583
1	NPC2	0.0009550699791943318
1	C4B	0.0009508199699291603
1	LAMC3	0.0009475248846100146
1	CFP	0.0009470653543761659
1	LAMTOR5	0.0009468558749491249
1	MOV10	0.0009454431599997386
1	NXF1	0.0009419407927903681
1	OAF	0.0009418446781726494
1	RSPRY1	0.0009416312044874363
1	CASP1	0.0008947614609298243
1	ENO1	0.0008836879134706288
1	PSTPIP1	0.0008413330455183784
1	YWHAQ	0.0008398660191067175
1	PGRMC2	0.0008363755248751368
1	H1-2	0.0008310217589145105
1	F10	0.0008290484962321897
1	EWSR1	0.0008215357128288381
1	CSNK2A1	0.0008151807546812888
1	PPP1CB	0.0008074997737225699
1	CSNK2A2	0.0007982307366549254
1	F2	0.0007814689525748048
1	LMNA	0.000764302053632204
1	CEBPB	0.0007641976153881992
1	TERF1	0.0007593068362979246
1	GABARAPL2	0.0007539405300599136
1	GABARAPL1	0.0007520237901976251
1	CCDC8	0.0007507626617171081
1	GABARAP	0.0007500592679943184
1	MAP1LC3A	0.0007450970036450536
1	SRPK2	0.0007433058263246203
1	SERPINA3	0.0007430049699511072
1	BECN1	0.0007429159361380622
1	PROC	0.0007402069672361922
1	MED4	0.0007365896563327164
1	LGALS3	0.0007349620636101761
1	PYCARD	0.0007347344149802184
1	PROS1	0.0007324398880530806
1	FAM20C	0.0007269783443695828
1	CALR	0.0007264110924546979
1	CTSG	0.0007216697645262581
1	ATG16L1	0.0007205435296084734
1	SLC27A2	0.0007193341297538201
1	ULK1	0.0007180161648962153
1	MVD	0.0007158115565474823
1	MAP1LC3C	0.0007149183152097408
1	ELANE	0.0007149104581054231
1	PMVK	0.0007137677361746372
1	LGALS8	0.0007135654188445247
1	EPR1	0.0007130119647354583
1	NLRP3	0.0007125840222016271
1	KLRG2	0.0007097956546797651
1	KHDRBS2	0.000709749302158504
1	TNFSF8	0.0007092736860693112
1	GGT5	0.0007089813345835629
1	TACC3	0.000708858994813952
1	SIVA1	0.000707137149459585
1	CCDC91	0.0007068328692083417
1	GSS	0.0007067972687859313
1	MMRN1	0.000706717906565566
1	CREB3L1	0.0007066741745639586
1	HMGCR	0.0007065622030712918
1	KLHL10	0.0007052260513379767
1	OLR1	0.0007049161210931829
1	MAT1A	0.0007037664769989759
1	SPACA4	0.0007036940826761168
1	RNF141	0.0007034561875324696
1	COG5	0.0007032790798741
