multiplex	node	score
1	CFH	0.025532407314136488
1	CD46	0.02543522165774351
1	EGFR	0.025205503965623845
1	CFI	0.024756626325778134
1	NLRP3	0.02455129983616883
1	HLA-B	0.02448705479709506
1	PRSS2	0.02435342344636181
1	GPR35	0.0243033988300278
1	PTPN11	0.02429050849226126
1	MEFV	0.02428763725999357
1	TNF	0.02427493220021913
1	IL23R	0.024274788099248528
1	IL12A	0.024272168001490294
1	FSHR	0.024249437801270993
1	LACC1	0.024229510954190885
1	SPP1	0.024221510708839985
1	ERAP1	0.024219077695322375
1	FAS	0.02421531008918812
1	HLA-DRB1	0.024211125447608624
1	PLVAP	0.024199383047066154
1	RIT1	0.02419765367860018
1	IL6	0.024197270098918824
1	MYD88	0.024196579590107313
1	IGH	0.024188206695718903
1	HFE	0.024181849608658726
1	AARS2	0.024171406824876156
1	IL10	0.024167224469711875
1	SOX18	0.02416183833192708
1	CCBE1	0.024157208000992546
1	FBXO2	0.003644600707489449
1	NR1I3	0.003635031315663453
1	C3	0.0018834482010198629
1	IL12RB1	0.0018419087226735505
1	IL12B	0.0017978550095778146
1	STAT3	0.0017947103409480204
1	HSPA5	0.0017821843787563924
1	GLP1R	0.0017062208203186078
1	AURKA	0.001486860742694044
1	HMGB1	0.0014777948338893262
1	MEF2C	0.0014662154098987485
1	MECP2	0.0014627484601773386
1	GKAP1	0.0014542162691603949
1	RELA	0.001365760768658573
1	JAK2	0.0013361183048479553
1	IL23A	0.0012832213777141525
1	TFRC	0.001269491500972475
1	TF	0.0012633620022933212
1	B2M	0.001260377406239119
1	CEBPB	0.001259379966857382
1	CD55	0.0012540309548749007
1	ECM1	0.0012437542352955247
1	SYVN1	0.0012256382611740958
1	C1D	0.0012165421679237445
1	TFR2	0.0012161167956900281
1	NFKB1	0.0009907010713022656
1	KLHL12	0.00091500424823785
1	ZBTB16	0.0008807639074475203
1	APP	0.0008366900328234028
1	YWHAQ	0.0007905968012132829
1	FLT4	0.0007844482347486357
1	GRB2	0.0007730482773697232
1	NRP1	0.0007552972279739598
1	SMAD3	0.0007412797417893397
1	ASGR1	0.0007362650577789017
1	FUT8	0.0007336987148578775
1	LMAN2L	0.0007328605817811249
1	CDSN	0.0007325731626958233
1	SMPD2	0.0007308307822909543
1	ZDHHC6	0.0007291243689868531
1	OSBPL11	0.0007276478679769824
1	SIAH2	0.0006944705585970645
1	LNX1	0.0006649152736224744
1	IL6R	0.0006580575203073634
1	SP1	0.0006389972159161123
1	FBXO7	0.0006389253913424021
1	COPS6	0.0006356559804568182
1	IRF5	0.0006299470825499972
1	INCA1	0.0006176050998679517
1	CEP55	0.0006156765452648925
1	H2BC5	0.0006123621952133764
1	KRT27	0.0006107380918152008
1	STX11	0.0006101869425696656
1	TOX4	0.0006080743874660834
1	KRT36	0.0006074414918771046
1	IL12RB2	0.0005570355414203352
