multiplex	node	score
1	AGT	0.03270244015732111
1	ALB	0.032263147743382355
1	AGTR2	0.03221635588082064
1	NTN1	0.03218345378623051
1	HLA-B	0.03197606460336953
1	NGF	0.03195652817436232
1	APOE	0.03194778317810635
1	HLA-A	0.031946309509552046
1	TNF	0.03193851812411778
1	BDNF	0.03193403626876682
1	CRP	0.03192513603149893
1	HLA-DRB1	0.03191932809256615
1	GCH1	0.03191632092370908
1	CXCL8	0.03191541671072911
1	CPS1	0.03190239770421588
1	CYP2D6	0.03189769237694182
1	ANGPT2	0.03188510077473207
1	NCR3	0.031884035371634215
1	SCN8A	0.03188032387093817
1	VPS51	0.03185794714460589
1	RBM45	0.031856972977597216
1	SCN9A	0.031833720870775066
1	NEURL4	0.009582415765971086
1	NR2F1	0.0022686773846518618
1	RNF123	0.002236697788922444
1	HNF4A	0.001980797517649273
1	POR	0.00197242420486529
1	CYP2C9	0.0019410137346134268
1	CYB5A	0.0019394561835846325
1	FAM209A	0.0014883806751160402
1	MAPK14	0.0014613375743084147
1	PHB1	0.0013905205887308257
1	GNAO1	0.001387623021537923
1	NEDD4	0.0013859464175647604
1	BAG6	0.0013779024846258016
1	FGF13	0.001369803001673468
1	FGF14	0.001369257279165587
1	HNRNPL	0.0012782508567082038
1	NTRK1	0.0011586088916374277
1	NEO1	0.0011549955158638317
1	DCC	0.001143594198854532
1	NGFR	0.001131050434588623
1	CD247	0.0011194539386463313
1	UNC5B	0.0011123505943206697
1	DRAXIN	0.0011023087187411282
1	NCR3LG1	0.0010993144568173753
1	LGALS3	0.0010964566960202698
1	ACE	0.0010855429240735539
1	ADORA2B	0.0010812439410255409
1	UNC5C	0.0010792463779586464
1	UNC5A	0.0010790784003399192
1	CD59	0.0010790164106049354
1	NEUROG3	0.001078114345571332
1	FCER1G	0.0010745855750018331
1	SLAMF7	0.0010663496419177003
1	SLAMF6	0.0010655591379941734
1	SORT1	0.00105963717531872
1	SORCS2	0.0010524813579710888
1	GNAI2	0.000982471661949567
1	TIMP3	0.0009058740972661617
1	CSNK2B	0.0009007840471475537
1	ERBB3	0.000866099216372119
1	HSPA8	0.0008323597551906719
1	CDKN1A	0.000830775135625733
1	A2M	0.0008240953802626515
1	ELAVL1	0.0008191253229333174
1	HSPA5	0.0007698887690292143
1	GNAI3	0.0007689393524949681
1	SNTA1	0.0007623304128884561
1	PIK3CB	0.0007615713697983102
1	MTUS1	0.0007610229495253054
1	AGTRAP	0.0007603150052094413
1	ZBTB16	0.0007585126471187446
1	PTPN11	0.0007569478726748829
1	ERBIN	0.0007558351809890083
1	CRYAB	0.0007503644626816252
1	APP	0.0007321771067215659
1	PLG	0.0007126494879388609
1	CRKL	0.0007118838048222131
1	LYN	0.0007116305770015313
1	GAB2	0.0007028344887532234
1	IQCB1	0.0007012212613690485
1	MMP7	0.0006940127238240163
1	ITGA5	0.0006920291628541399
1	RAPGEF1	0.000691190233228551
1	ROR1	0.0006902168599644385
1	VIM	0.0006871423197055586
1	SORCS3	0.0006853927893934825
1	TEK	0.0006817648279783482
1	ITGB1	0.0006790391162800466
1	ANXA7	0.0006588493913437479
1	ITGAV	0.000654801706641311
1	ZZEF1	0.0006490023463384374
1	HECTD3	0.0006481872400654375
1	VEGFA	0.0006474355534479072
1	ANGPT1	0.0006465056446092204
1	MME	0.0006458983496664324
1	CSNK2A1	0.0006458898395625201
1	FBXO28	0.0006438026480929237
1	ESR1	0.0005606823254504129
1	YWHAZ	0.0005552376554428326
1	H1-1	0.0005248074839961507
1	GRB2	0.0005093919965466024
1	CANX	0.0005071900346064649
1	ATP1B1	0.00047510865530907287
1	NOS3	0.0004660355915424175
1	TNPO2	0.00045549460983382734
1	TP53	0.0004438311766348064
1	ESR2	0.00042891047166480705
1	EWSR1	0.00042579029512931546
1	GIT2	0.0004250479649445807
1	NTF3	0.00041744436621637656
1	PRG2	0.00041227630760695623
1	CDC37	0.0004080690278064005
1	CDC5L	0.00040047060754897683
1	HSPA9	0.0003986759558473302
1	CREB3	0.0003922131956496226
1	RIPK4	0.00038991398236779587
1	NTRK2	0.00038778941301060134
1	CREB1	0.0003809228234011663
1	KDR	0.00037935644016373615
1	NTRK3	0.0003779134602969078
1	VCP	0.00037547837261145655
1	GPR152	0.0003738447788328651
1	BPNT2	0.00037318066753600865
1	HSP90AA1	0.00037157704222705204
1	PREP	0.00036944435771040673
1	ATP6AP2	0.0003659641598824889
1	H2BC12L	0.0003653479169062345
1	RHOU	0.00036456161251790126
1	F11R	0.00036441007550569134
1	JUNB	0.0003628961797498408
1	CPE	0.000362442009725905
1	NTF4	0.00036143648981198874
1	NCAM1	0.0003611174830976439
1	KNG1	0.00036052211939608243
1	INPP5K	0.00036022377407839574
1	AGO3	0.0003588799522754276
1	MBTPS1	0.0003567128676400563
1	CADPS2	0.0003566699529353599
1	AGTR1	0.00035129535368729435
1	MEP1A	0.00035081394088549295
1	CTSG	0.00034921532402160945
1	MAS1	0.000347581995937516
1	ECE1	0.0003444555072744949
1	ITSN2	0.0003437075755325593
1	TMEM17	0.0003430134191164165
1	NDUFA3	0.000342437121266305
1	PLPPR3	0.000342222815295081
1	CMA1	0.00034102367203153885
1	REN	0.0003409802702003469
1	DNPEP	0.0003407382988822638
1	ACE2	0.00034073546356492787
1	GSDMB	0.00034036962183693967
1	ENPEP	0.00034017524204132477
1	PRCP	0.00033976483175013805
1	TRA	0.00032100524366216805
1	TRB	0.0003122510724258844
