multiplex	node	score
1	GDF9	0.02600059420362287
1	ESR1	0.025639194427400473
1	BMP15	0.025162863926279783
1	FSHR	0.025113585450863722
1	CYP2C19	0.025094391663661498
1	POU5F1	0.02509213654972379
1	NOG	0.025086470672391586
1	NR5A1	0.025081108308744698
1	FIGLA	0.02507894187375104
1	AMH	0.02506294140894457
1	POF1B	0.02505811741668594
1	SGO2	0.025056415868979245
1	WT1	0.025055677401638967
1	FOXL2	0.02505291350472221
1	SOHLH2	0.02505194318069435
1	FANCF	0.0250449912438354
1	MCM8	0.02504384844892704
1	NFE2L2	0.025042671670785874
1	PSMC3IP	0.025033147521695748
1	SOHLH1	0.025032675797612074
1	FMR1	0.02503250271358129
1	BRD2	0.025032294443956913
1	EIF4ENIF1	0.025032104418218796
1	NANOS3	0.025031292882838733
1	HFM1	0.0250174173842407
1	STAG3	0.025010942638298336
1	XPNPEP2	0.025008944305179054
1	ADAMTS19	0.025007955947519304
1	H1-5	0.007721916804442717
1	H2BC9	0.007664229443334548
1	TRIM25	0.004295903628022518
1	SMC3	0.0038099672012797893
1	SMC1A	0.0037903908161461015
1	MAPT	0.0037864195903945038
1	FAM107A	0.003765120649776236
1	ELOA2	0.003763755877180336
1	MLH1	0.0014840347361487402
1	BMPR1B	0.0011727284106669332
1	COPS5	0.001148924834773188
1	BMP6	0.001121856301168767
1	ATF2	0.0011187962765701093
1	BMP4	0.0011125376132499918
1	BMP7	0.0011051368282155303
1	PPP2R2D	0.0011036824412099704
1	BMP2	0.0011023765528618674
1	GDF5	0.0010999947836418135
1	ARL8B	0.0010849642048676579
1	BMP5	0.0010793800603151943
1	AMHR2	0.0010682936204949149
1	TEKT4	0.0010561900587132064
1	EGFR	0.001049051841646221
1	NEK4	0.0009780894481087377
1	TCF4	0.0009689802911441839
1	HECTD1	0.000964529091005873
1	PSMB1	0.0009612704675680322
1	AMD1	0.0009568118610483965
1	FAM20C	0.0009553543182685431
1	CNOT1	0.0009546897552442236
1	DCAF6	0.0009520134348859381
1	PCSK5	0.0009488528721513877
1	PHACTR3	0.0009471258148666357
1	CNOT3	0.0009463163295166328
1	PUM2	0.0009451993586611946
1	ZMAT2	0.0009450131813945375
1	CIB3	0.0009446245708505062
1	ETV5	0.0009444472061057707
1	IMP3	0.0009423967253747899
1	TCF12	0.0008952645988007374
1	MYOD1	0.0008559049879267779
1	MYOG	0.000848411715090063
1	LHX3	0.0008458111843240563
1	LHX6	0.0008409262487970396
1	LHX8	0.0008402343121287039
1	MYF5	0.0008400763678616166
1	TCF23	0.0008396107634701923
1	AR	0.0006366514058235563
1	BRCA1	0.0006141864043623695
1	CDH1	0.0005674211153185133
1	ELAVL1	0.0005559573992900488
1	ESR2	0.0005488898730391372
1	JUN	0.0005102739322656762
1	MYC	0.0005037182506724249
1	CTNNB1	0.0004602396256232408
1	CREBBP	0.0004414543979167768
1	HNRNPL	0.0004267935122875695
1	BMPR1A	0.00042151385597255845
