multiplex	node	score
1	ENG	0.025882364209579185
1	BMPR2	0.02587041158887649
1	ACVRL1	0.025795414387581896
1	FOS	0.02497332511374857
1	IRF5	0.024930884859244412
1	GDF2	0.024845614251215228
1	SMAD4	0.024685335099029506
1	IL12B	0.024460867261968996
1	CAV1	0.024394696267405962
1	VHL	0.02434281546702564
1	SMAD9	0.02431073692441475
1	JAK2	0.02428962184159362
1	NOTCH1	0.024282330348079844
1	FLNA	0.0242707021156661
1	PIGA	0.024251178439676894
1	CHST3	0.024229975922810038
1	BSCL2	0.02422499849307064
1	EIF2AK4	0.024223693351316394
1	HLA-B	0.024223662281286973
1	PPARG	0.024221633413876096
1	HLA-DRB1	0.02421076743895518
1	EPAS1	0.0241901854794117
1	CCN2	0.02418264922764051
1	TBX4	0.02417207555301208
1	PHIP	0.024162003556735492
1	SLC37A4	0.02416085669390653
1	SNX10	0.024156019669195537
1	KCNK3	0.024151341958193632
1	ARHGAP31	0.02414857683299022
1	NUP43	0.0036575808822660342
1	TENT5A	0.0036431465205488084
1	ELAVL1	0.0024378497973489258
1	TGFBR1	0.0023010212047027702
1	ACVR1	0.0020969671730429796
1	ACVR2A	0.0020067982090942313
1	ACVR2B	0.0017453280890170077
1	SHBG	0.0014824358662358773
1	TCTN3	0.001481262513710682
1	GLP1R	0.001468302304724954
1	BIK	0.0014633151253784493
1	GPR35	0.0014630959705462033
1	SMURF1	0.0014142170327619697
1	RAC1	0.0012869097772921546
1	CYLD	0.0012640363867084542
1	DAZAP2	0.0012521068923251554
1	RABAC1	0.001226398598310494
1	ARL6IP1	0.001225662157303862
1	NEURL4	0.0012241194628442645
1	REEP6	0.0012221577139353134
1	YIF1A	0.001220500815678117
1	ITSN1	0.0012168662029422646
1	RELA	0.001098789061654106
1	TGFB1	0.001002739740117508
1	NFKB1	0.0009678363437574014
1	IL12A	0.0009390503271270109
1	IL12RB1	0.0009118701379229677
1	YWHAE	0.0008803044226414563
1	ITGA5	0.0008557042910065049
1	TGFB3	0.0008519374024056954
1	IL23R	0.0008188393305732574
1	IL12RB2	0.0008053758521823879
1	IL23A	0.0007826348846891615
1	YWHAB	0.0007634550782637036
1	YWHAQ	0.0007623135262825333
1	YWHAG	0.0007604606104367228
1	YWHAZ	0.000759668845993427
1	ERP44	0.0007439189858364212
1	TGFBR2	0.0007274846967908007
1	UBA52	0.0007250032750136684
1	HSP90AA1	0.0007182414787484864
1	YWHAH	0.0006909804510383546
1	S100A10	0.0006868043470933407
1	SFN	0.0006829256779952791
1	COPB1	0.0006688474593442098
1	PHACTR3	0.0006650135859914226
1	EP300	0.0006520169679720178
1	INHBA	0.0006336273217384207
1	HNRNPL	0.0006143162385366098
1	ITGB1	0.0006101168538398142
1	CREBBP	0.0005995910167644852
1	TGFB2	0.0005968422352353103
1	DNMT1	0.0005952656463093449
1	SMAD1	0.000594718604122682
1	CHPF	0.0005907376551165564
1	LRG1	0.0005905137073872228
1	PTCH1	0.0005743063344275138
1	ARRB2	0.000568684490554265
1	CSGALNACT2	0.0005562153189352753
1	CHSY1	0.0005491405783222407
1	CHSY3	0.0005454128047909346
1	CSGALNACT1	0.0005396702086860741
1	ESR1	0.0005334002023934984
1	CHST12	0.0005252866699488497
1	ESR2	0.0005251987328251874
1	CHST14	0.0005206648323517535
1	CHST11	0.0005201506913564854
1	CHST13	0.0005193415555452184
1	EGFR	0.0005192461044833034
1	SP1	0.0005165119533414488
1	SCGB2A2	0.0005081195789389822
1	AVP	0.000503701590111482
1	OFD1	0.0005028333574234484
1	CRP	0.0004977207754829596
1	FN1	0.0004618431520357906
1	BMP2	0.0004379672062585663
1	COPS5	0.0004369307183547933
1	BMP7	0.0004325567124576231
1	SUMO2	0.0004280877058848731
1	XIAP	0.0004274164865578121
1	ACTB	0.00042033916344229034
1	PPP1CC	0.0004181849824286594
1	HSP90AB1	0.00038616182113833494
1	TGFBR3	0.0003620182344951344
1	XPO1	0.0003598583470913417
1	TMPO	0.0003557811013845308
1	EWSR1	0.00034455760028769217
1	CD83	0.0003431114933576053
1	TGFBRAP1	0.0003428781606113096
1	SMAD3	0.0003427529684588434
1	TUFM	0.0003395028037478877
1	GRB2	0.000339021008450752
1	MMP14	0.00033612385585723704
1	TNIP2	0.00033461891124078326
1	TRIM21	0.0003319503586675536
1	IGSF1	0.000330254717542675
1	HDAC1	0.0003294506498015771
1	ARIH1	0.000324800211885248
1	PEG10	0.0003244881547332196
1	APP	0.0003242828655410197
1	FKBP1A	0.0003203297627970418
1	PPP1CA	0.00031819748804481684
1	TRIM25	0.0003167870864657847
1	DYNLT4	0.0003166589742030013
1	CSNK2B	0.0003161346092977283
1	NEDD8	0.0003150676420745151
1	UBR5	0.00031495218244680226
1	VCP	0.000313354522323558
1	GPS1	0.0003122531378575122
1	ANG	0.00031206130989282405
1	TSC22D1	0.0003112867229265931
1	COPS4	0.0003111000568322721
1	COPS3	0.00031035238847878366
1	PKM	0.0003079432594271423
1	HSPA8	0.0003078973821079988
1	SNX6	0.00030783348606432375
1	COPS6	0.00030561642831421286
1	SUMO1	0.00030509446509094346
1	NAGK	0.000303784934947899
1	TRAF6	0.0003027266754648825
1	SH3RF2	0.0003026165987901612
1	BAMBI	0.00030085001300315044
1	PSMC3	0.00029969008185864776
1	NR1H2	0.00029483427259452785
1	COPS2	0.00029157740048665816
1	LRP1	0.00029024617668072623
1	PIGP	0.00029012361157303764
1	SLC25A24	0.0002885874542285935
1	PIGH	0.00028761005527550834
1	PDXDC2P-NPIPB14P	0.0002871305364117887
1	JUN	0.0002870797124131537
1	BAG2	0.0002864037717794547
1	COPS8	0.0002861760146598144
1	ZDHHC17	0.0002856962548321666
1	COPS7B	0.00028529411583032624
1	SMARCA4	0.00028517841731155974
1	PSMD2	0.00028345531847986195
1	ACTG1	0.00028198355312274425
1	PIGQ	0.00028110116644187983
1	PIGC	0.0002807726057571618
1	PIGL	0.0002806732617445248
1	FBLN1	0.00028059635473288107
1	CUL3	0.00027799982557153867
1	CCN3	0.00027796267199373787
1	KAT2B	0.0002772921705767285
1	LYPD3	0.00027505151389158695
1	VEGFA	0.00027482957957051146
1	TRAP1	0.00027389567206738516
1	DPM2	0.0002711176758219561
1	CACYBP	0.00027011570009256516
1	FZR1	0.00026826099419845586
1	CTNNB1	0.0002682405751991216
1	ZNRF4	0.000266982353289142
1	TKT	0.0002635020906385622
1	HSPA5	0.00026341372837549603
1	HAVCR2	0.0002633717981243029
1	TRAF1	0.000262848025172002
1	FGFR2	0.0002627224976829743
1	CD79B	0.00026192101895662634
1	PCDHGB4	0.00026109682614706655
1	STAT3	0.0002595409476564247
1	MATR3	0.0002594640748991622
1	SMAD2	0.0002592058173749055
1	ENTREP3	0.00025883035314944376
1	HSPA9	0.0002586729774675337
1	TARS1	0.00025688698094715245
1	LRPPRC	0.0002566271571283992
1	MAPK1	0.00025652295984964624
1	ENTREP1	0.0002543353130550639
1	LMNA	0.0002543003723477109
1	IL18RAP	0.00025398234380497384
1	CEP43	0.00025390237184843125
1	FGFR3	0.00025289865015689386
1	ERBB4	0.000252896133916063
1	EVA1C	0.00025226585669805456
1	DPEP1	0.000250946072841319
1	MDM4	0.0002502608663468138
1	NCOR1	0.00025021150180337584
1	CDC37	0.00025007891499091543
1	LIMS1	0.000249215088446249
1	LRP2	0.0002487682016149904
1	HSPG2	0.0002486031186154995
1	LRRTM1	0.00024832184270225885
1	KCNS3	0.00024737643823419286
1	AP3D1	0.00024724962056204197
1	LTF	0.00024720251933801175
1	VWCE	0.0002469337909717636
1	PCDHB7	0.00024662300915694496
1	CCDC107	0.00024563430993595787
1	PCDHA3	0.00024555672874543365
1	KLHL23	0.00024515578671879443
1	HS3ST2	0.00024489797388737634
1	TRIM68	0.00024474325705735447
1	COA7	0.0002445736483835996
1	THBS2	0.00024441185290283775
1	PIGY	0.000244183451241987
1	NCOR2	0.0002421463072600881
1	AARSD1	0.00024041829071551544
1	BMPR1A	0.00023951228081806527
1	SIN3A	0.00023747002335650587
1	SMAD7	0.0002324643593520696
1	STIP1	0.00023234870421226666
1	TUBB4A	0.0002317925088339723
1	SPTBN1	0.00023086503138221447
1	NUDCD3	0.00022687479364281332
1	BMP10	0.0002259412599398073
1	MLF1	0.00022453837697701987
1	USP46	0.00022135901304291394
1	C6orf141	0.0002183312595733503
1	CRYL1	0.00021804814508894895
1	CDH1	0.0002167892037319708
1	DEF8	0.00021578537329688694
1	FAM153B	0.0002156278713958276
1	CROT	0.00021500841743851798
1	PALM2	0.00021482348661876462
1	PPIB	0.0002147860495714975
1	RNF4	0.00021450333791588305
1	GGNBP1	0.0002141329167600495
1	SRC	0.0002139390482143814
1	SQSTM1	0.00021185239360433785
1	CXCL8	0.00021011429588539324
1	USP7	0.00020993264497031624
1	EGLN3	0.00020712261211169758
1	IRS1	0.00020665475978159348
1	TPR	0.00020599310212915945
1	NFATC2	0.00020211140420046256
1	IKBKE	0.00020151414838871917
1	IRF3	0.00020076926327888654
1	ACVR1B	0.00019927975029928328
1	SGTA	0.00019890700277085162
1	HLA-DRA	0.0001988719194450724
1	KPNB1	0.00019846739405455195
1	STAT1	0.00019802547842911333
1	MAPK8	0.00019340982139118967
1	STUB1	0.00019274591439315912
1	FNDC4	0.0001927378377732067
1	CUL7	0.00019180958777848371
1	IFI16	0.00019159412023271586
1	IKBKB	0.0001914743139046109
1	SUPT16H	0.0001910740863285038
1	RGS3	0.00019075818809386665
1	XRCC5	0.0001907066297293581
1	TRA	0.00018993586510811892
1	KDM1A	0.0001898761722916936
1	H3C1	0.000189258899141151
1	CHUK	0.0001873355324486741
1	NR3C1	0.00018582697564250062
1	TRB	0.00018430829660899073
1	NR4A1	0.0001838313358004248
1	RNF2	0.00018347036837117956
1	FABP5	0.00018301725302968585
