multiplex	node	score
1	TERT	0.02454888194270265
1	TAP1	0.023974715478274598
1	ITGB2	0.023936816430691538
1	TAP2	0.023855283663754227
1	SPTA1	0.023736146942449913
1	TAPBP	0.023712726562075716
1	SLC4A1	0.023675744660134484
1	SPTB	0.023658770279334277
1	WAS	0.023548256202091902
1	PDGFRB	0.023487429484017087
1	STAT3	0.023470626705805582
1	NOTCH3	0.023458054222206006
1	PRTN3	0.02345778639833465
1	LAMA3	0.023452071444840905
1	PDGFB	0.023439514850184355
1	IKBKG	0.02343822232336785
1	WIPF1	0.023432684836799795
1	NGF	0.023423899628273563
1	TERC	0.02340927190714428
1	PTH1R	0.023394293947898933
1	PROS1	0.023391295732386075
1	PGM3	0.023390245807580774
1	OCRL	0.023385882100363208
1	MLX	0.023383611081105326
1	PKP1	0.023373005392500982
1	AK2	0.02337095824060004
1	TNFRSF1B	0.023366637590804536
1	PEPD	0.02336548853453614
1	PARN	0.02335810681511257
1	WRN	0.023353533017275267
1	DKC1	0.0013338333101972429
1	A2M	0.001308790719270487
1	NTRK1	0.0012833607917133146
1	RUVBL2	0.0012689981710087084
1	RUVBL1	0.0012659011149449382
1	NHP2	0.0011947950026961786
1	GAR1	0.0011890366815323651
1	ESR2	0.0010854621339646913
1	PLG	0.0009881110004576017
1	NXF1	0.0008392689743833492
1	APP	0.0008237007485856521
1	CRKL	0.0008125342526257601
1	PDIA3	0.0007787164174362847
1	PTPN11	0.0007784733910566977
1	CALR	0.0007670592500304636
1	HLA-A	0.0007649056116048168
1	HLA-B	0.0007591418770442689
1	CANX	0.0007493356912658014
1	B2M	0.0007364830345236874
1	HLA-E	0.0007357682182321816
1	HLA-G	0.000725813245182022
1	ELAVL1	0.0007169682802299556
1	SUMO1	0.0007096918524478218
1	HNRNPL	0.0007009320520452963
1	GAN	0.0006468753224659324
1	SP1	0.000632391926324418
1	MOV10	0.0006310643946307147
1	HLA-C	0.0006253853097972201
1	SUMO2	0.0006225989880998057
1	RELA	0.000602104035927306
1	COPB1	0.0005969325308870178
1	MYC	0.0005779547177028134
1	TCTN2	0.0005745123497421484
1	RNF4	0.0005497315478311886
1	PLAT	0.0005453130915170367
1	LYN	0.0005425925779579543
1	NGFR	0.0005382644591452242
1	CRYAB	0.0005374319430444911
1	SORT1	0.0005267437156044016
1	GAB2	0.0005202136839575215
1	BAG3	0.0005163491193831208
1	MMP7	0.0005154101394675101
1	RAPGEF1	0.0005132627456322143
1	ROR1	0.0005079941572973302
1	SORCS2	0.0005048387627044204
1	SORCS3	0.0005025416546838372
1	SLC25A5	0.0004983063534935409
1	HLA-F	0.0004952782067239449
1	TNF	0.0004937720673939437
1	COPG1	0.000486748537787527
1	EPB41	0.0004812275737285204
1	ITGAM	0.00048103930142735665
1	ABL1	0.00046970769366176906
1	ANK1	0.00046700583134556085
1	GRB2	0.0004532592366284005
1	ACTC1	0.0004393157798268471
1	SMAD3	0.00043415665543804113
1	RPSA	0.00042249604933869157
1	HSP90AB1	0.0004162513338710794
1	IL1B	0.0004119180984548081
1	F2RL1	0.00040927984224102635
1	F2R	0.00040836737509626717
1	FYN	0.00040621455885929186
1	SERPINB13	0.0004061262390223017
1	ATP6V1B2	0.0004060611355056521
1	DCP2	0.00040517301998899434
1	SERPINA1	0.00040387591169670684
1	HSPA1A	0.0003998089998161333
1	ELN	0.00039870263129471476
1	LRRK2	0.00039436052329526325
1	YWHAQ	0.0003943599634058891
1	SERPINB1	0.0003938010098740018
1	IL32	0.00039368942900039024
1	TULP3	0.00039291876609929107
1	CAMP	0.00039241002711902224
