multiplex	node	score
1	ALB	0.023988469492311416
1	NLRP3	0.02382369044526225
1	ERCC3	0.023613413831633005
1	NLRC4	0.02355633191496634
1	TNF	0.023506303505788407
1	HLA-DQB1	0.023499618122954553
1	IL18	0.02348838337205113
1	ALOX5	0.023457290321174707
1	GSTM1	0.023453353982863388
1	FCER1A	0.023450356587344384
1	FOXP3	0.023437400678353693
1	ERCC5	0.023426491617565534
1	HLA-DRB1	0.023415063341988455
1	MVK	0.023415033354508587
1	HLA-DPB1	0.02341383949141043
1	ALDH3A2	0.023412744950006545
1	MPO	0.023411341953813655
1	VCAM1	0.023403939149054705
1	TGFB1	0.023403047937372863
1	GJB2	0.023402321104015498
1	HNMT	0.02339210671049801
1	IL1B	0.02339108054931994
1	GRK6	0.023390160270451925
1	F12	0.02338640161349389
1	SELE	0.023385631175230195
1	PIGT	0.02338361028133408
1	MBTPS2	0.02337403579136962
1	ADGRE2	0.023373313036731194
1	ICAM1	0.023372571769433526
1	SF3B4	0.0233635459834042
1	INS	0.0020585906072860785
1	CD4	0.0019211769399451377
1	HLA-DQA2	0.0017798298094861295
1	HLA-DQA1	0.0017697909595256814
1	JUN	0.0015986962271428995
1	LMNA	0.0014192117146672937
1	SYVN1	0.0012025007457982376
1	FAM8A1	0.0011801959862814406
1	SARAF	0.0011760343521951399
1	IL17RC	0.0011757093001018455
1	ATF6B	0.0011755984403614842
1	FCER1G	0.0011495795012495859
1	CASP1	0.0010914252231447302
1	AOC1	0.0010515283876862298
1	AOC3	0.0010434798904163582
1	MAOA	0.001033151309746428
1	MAOB	0.0010327007417428532
1	AOC2	0.0010314403308877393
1	GRB2	0.0009700793701735247
1	SYK	0.0009696666994039097
1	TERF1	0.0009236276230370307
1	POT1	0.0009144156713134882
1	APP	0.0008997543057216766
1	VAV1	0.0008195869648957402
1	ITIH2	0.0008072552172572521
1	HEXIM1	0.0007958352219026477
1	PDHB	0.0007919588296066957
1	MESD	0.0007903542195074378
1	MS4A2	0.0007870234137847159
1	IGHE	0.000782087815533502
1	HSPA8	0.00076436023612181
1	IQCB1	0.0007531815369173381
1	GSTM3	0.0007398517495799336
1	ARL6IP6	0.0007195893881445802
1	DAO	0.0007193772676208592
1	MAP3K5	0.0007156518449313895
1	GSTM2	0.0007110260863273966
1	HAUS7	0.0007097467525695923
1	UCP1	0.0007061380505744008
1	EWSR1	0.0006824033977733263
1	ESR2	0.0006751764715559
1	TLR2	0.0006290884330739192
1	CASP4	0.0006285518480090768
1	IL1RAP	0.0006266944794804903
1	A2M	0.0006251573105160224
1	IL1R1	0.0006165050107342984
1	PYCARD	0.0006031295906651137
1	EIF2AK2	0.0005952635094488171
1	DDC	0.0005768138996769091
1	HDC	0.0005723653377284643
1	PSMC5	0.0005610177219629111
1	UBE2N	0.0005608022307104896
