multiplex	node	score
1	HLA-DQA1	0.025179149045305445
1	CRYAA	0.02431086262211857
1	RELA	0.024291593908468984
1	CX3CL1	0.02407142666733502
1	CCL5	0.024060100359439403
1	ALB	0.023872135653513996
1	CRYBB2	0.023803429788585594
1	NR3C1	0.023779996485567185
1	CXCL10	0.02376576025829575
1	CX3CR1	0.023750064840684097
1	HLA-DQB1	0.023712910941495247
1	CCL2	0.02353298767961235
1	IL18	0.023499794171679633
1	TNF	0.023459045014398567
1	HSPA9	0.023449163917650236
1	TNFRSF1A	0.02344130644254745
1	TLR4	0.023435803110354488
1	IL6	0.023421295221849187
1	IL1B	0.023406652114539094
1	NOD2	0.02340497749688721
1	ICAM1	0.023394451211503815
1	SOD2	0.023392269983978035
1	IL17A	0.023389884530408345
1	SAG	0.023386012778037164
1	IL1A	0.023385088299069687
1	ANXA1	0.02338339751427521
1	SERPINF1	0.023377270531384636
1	ARG1	0.023370544787329292
1	RBP3	0.023369625289027675
1	CALB2	0.023352165494367343
1	CD4	0.0019981011837109765
1	INS	0.001930254436945683
1	HLA-DQA2	0.001794879474612589
1	HAX1	0.001678194497550092
1	TUBA4A	0.0016569525613280638
1	ARRB2	0.0015336413552004251
1	CRYAB	0.0013823191108783505
1	HSPB1	0.0013457184605225497
1	ARRB1	0.0012551584077404613
1	CRYGC	0.0012454019927669768
1	KRT1	0.001231047721024851
1	MIP	0.0012276748868534123
1	ADRA1B	0.0012065471429297744
1	CRYBA1	0.0011888019507657306
1	CHRM2	0.0011830248022130965
1	NUFIP1	0.001180818350834083
1	DNAAF2	0.0011770193441337506
1	DGUOK	0.0011766128800173481
1	RHO	0.0011762463825837767
1	CLK3	0.0011748628007456296
1	CASP1	0.0011493366753784573
1	TRAF6	0.0010934303590136322
1	CCR1	0.0010926611381706331
1	IL1RAP	0.0010794396947595747
1	IL1R1	0.0010773343895766792
1	TLR2	0.0010721421807807496
1	CCR3	0.0010709732972284595
1	SP1	0.0010240316625889309
1	DPP8	0.0010001162275936539
1	CXCR6	0.0008533985765996481
1	CEBPB	0.0008273615801049279
1	CCR4	0.0008113909998033759
1	LMO4	0.0008103054550884062
1	CXCR4	0.0008075881550892326
1	CXCL8	0.0008073340390155313
1	CCL21	0.0008072120527095655
1	CRYBA2	0.000797668109142094
1	CRYBA4	0.0007971374607258804
1	NFKB1	0.0007665504948763543
1	CCL16	0.0007639414359623762
1	CCR2	0.0007506969342977185
1	CCL22	0.000745249468588304
1	IL17RA	0.0007374180678524107
1	CCL13	0.0007314878316651113
1	ATP1A3	0.0007301850962732832
1	IL2	0.0007244014646615953
1	IKBKG	0.000710894863065646
1	TRAF3IP2	0.0007103244463222951
1	TXNDC15	0.000709719969763153
1	LONP2	0.0007090786462129252
1	KCNIP4	0.0007057625402476654
1	DPH2	0.0007044588496632763
1	CASP4	0.0006990679976496125
1	IL1R2	0.0006892780164134859
1	VCAN	0.0006735325696571579
1	CXCL13	0.0006685918847633614
1	CCL17	0.0006621088215099906
1	ITGA4	0.0006565480440027082
1	CCR10	0.0006513292303824806
1	MAP3K7	0.000648971539266477
1	CXCL3	0.0006487067461724062
1	CCL8	0.0006424831912193505
1	SH3GL2	0.0006260206405902278
1	STAT1	0.0006254977815467344
1	ITGB3	0.0005971452691164641
1	SHARPIN	0.0005889385557591363
1	APP	0.0005666149026919838
1	PRKACA	0.0005472164029868738
1	S100A13	0.0005403948419547517
1	CCR8	0.0005394836179788274
1	CSNK2A1	0.0005372586601283692
1	HSPA5	0.0005317188523577218
1	MEOX2	0.0005261485609661182
1	TLR5	0.0005245770080624549
1	CCR7	0.0005229681880298264
1	CYSRT1	0.0005205470355814882
1	PTPN11	0.000517556492804198
1	MYD88	0.0005123052867887493
1	MCM2	0.000499342363921872
1	CEBPD	0.0004894430724574065
1	CXCL1	0.0004834412773117806
1	MAP4K4	0.0004809072459847308
1	CCL25	0.00047893646718521555
1	NFKBIE	0.00047319707864765915
1	DRD2	0.00047228308049693056
1	TP53	0.00046900563369103176
1	FN1	0.00046688823291947645
1	CAPN1	0.00046663762125123047
1	HSPB2	0.0004623936533943396
1	ELAVL1	0.00046202595479347277
1	NEDD4L	0.0004592240436371677
1	KPNA6	0.00045900684508282997
1	HSD3B7	0.0004576416437352533
1	MYC	0.0004566945467980834
1	BDKRB2	0.00045633537609808083
1	FGG	0.00045337741526889477
1	CXCL6	0.00045293830672462287
1	PF4	0.00044734915184047573
1	NOTCH1	0.00044536186831363456
1	HOXA1	0.0004441220665664953
1	NDN	0.00044279563923844257
1	MYOC	0.0004425181918968162
1	SGTB	0.0004418990289077442
1	KPRP	0.00043933852089480564
1	CASP3	0.0004331577743471619
1	MLH1	0.000431213289623222
1	SDCBP	0.0004309540553160716
1	FAM20C	0.00042977963031931284
1	NTAQ1	0.00042884170596059414
1	CRYGD	0.00042858382101584625
1	MGAT5B	0.00042780461437962335
1	CCR9	0.00042748652582076565
1	BCL2L1	0.00042702703854088166
1	CDC23	0.00042632244233409565
1	CREB5	0.0004262826134419365
1	EFEMP2	0.00042575714343681627
1	TMEM25	0.0004257167772101193
1	PLSCR4	0.0004242723690215227
1	CXCR3	0.00042259360196404754
1	SPAG8	0.0004222155925132854
1	KRTAP10-5	0.00042139884501371397
1	L3MBTL2	0.0004205117815511173
1	RNF4	0.0004202550355103188
1	NID2	0.00041895082687549274
1	POU4F2	0.0004187696039262486
1	DPP4	0.000418587648946089
1	HR	0.0004181056107070881
1	RBM3	0.00041767483083307545
1	GORASP2	0.00041765791735370395
1	SHMT2	0.0004175689848707489
1	KLHL8	0.00041745497310663796
1	TRIM25	0.00041720407451191184
1	LRP6	0.0004167452402115167
1	EPM2AIP1	0.0004159336097435589
1	SPG21	0.00041469284042899157
1	PNPLA2	0.000414653519532982
1	IMPACT	0.00041408861972834596
1	SERPINA6	0.000413923404311164
1	ZNF239	0.00041292280424176235
1	CYLD	0.0004104431073898027
1	IL6ST	0.0004064877582451784
1	GHR	0.0004057622860104768
1	IGFBP7	0.0004049302026647698
1	ZBTB16	0.0004042508982777996
1	SOS1	0.0004042474218648347
1	CCR5	0.0003995999096889564
1	BAX	0.0003975024173991562
1	ACKR4	0.00039340144086860316
1	CS	0.00039233871583864395
1	ACKR2	0.00039079915060682367
1	LALBA	0.00038991336718654715
1	LOC102724652	0.0003890613857481367
1	EGFR	0.0003879324132456378
1	LIFR	0.0003868983809457177
1	CRYZ	0.00038684117584093
1	CDK15	0.00038522992947944925
