multiplex	node	score
1	GGCX	0.0396579580162143
1	F2	0.039332519402268354
1	F10	0.038679350338092
1	F8	0.03858398871384183
1	F7	0.03835016317868021
1	BGLAP	0.03752121574933868
1	LMAN1	0.037452686451000944
1	MCFD2	0.03736266271746557
1	F11	0.03722020108582531
1	AFP	0.037107002922395306
1	VKORC1	0.037049113866735546
1	LHPP	0.037002698899844054
1	CFTR	0.03698750975829738
1	MGP	0.036961536159969895
1	CYP2C9	0.03695761906346038
1	ARSL	0.03691931372188871
1	COX8A	0.03689572731557441
1	GLA	0.03689133642181565
1	PC	0.036888670133197424
1	HTN3	0.005933443613287926
1	BMP2	0.005585828664465493
1	HNRNPL	0.003391699810042326
1	F9	0.0029329153622075
1	HDHD2	0.002796754345981756
1	TMEM259	0.00278864265048377
1	GDPGP1	0.002783679152486578
1	ZSCAN23	0.002780427406595502
1	TNK2	0.0027784959357977676
1	NDN	0.0027762094811187975
1	COQ6	0.002775886359646188
1	HNF4A	0.0019300597318560773
1	CTSB	0.001644578847351904
1	CTSD	0.0016410306518648008
1	ASPH	0.0016325515529552154
1	CBX5	0.001624368311554529
1	CTSS	0.0016201388345493406
1	CTSH	0.0016160568873525667
1	SERPINA5	0.0015454678248786474
1	APP	0.0013846517261219202
1	NR3C1	0.0013420458754865483
1	STAMBP	0.001319211069407686
1	CRELD2	0.001245478308730195
1	PROC	0.0012388712062981072
1	CANX	0.0011827973952951844
1	PLAT	0.0011265465962350752
1	FBXO6	0.0011245827771151318
1	KNG1	0.0011013053316622674
1	PROS1	0.001092922983026244
1	GP1BA	0.0010909168252380146
1	ESR2	0.001012438259197445
1	PLG	0.0009843360455015257
1	F3	0.0009249860722267314
1	TFPI	0.000920669260400027
1	PHB2	0.0008481858774737326
1	RNF4	0.0008337155183096876
1	SERPINF2	0.0008323576977984144
1	HGF	0.0008305125615227681
1	KRT8	0.0008295228011768013
1	F5	0.000804784022814662
1	TFPI2	0.0008033616204770767
1	N4BP2L2	0.0008019353064324407
1	PRCC	0.0008008425027347743
1	UQCRC2	0.0007874284270004194
1	HSCB	0.0007806767463221241
1	TRIM25	0.0007566562210060472
1	SERPINB6	0.0007394693171970991
1	ALB	0.0007385156089296159
1	HLA-B	0.0007336332060206183
1	PSMB7	0.0007240864410800355
1	SERPINB8	0.0007145284454358648
1	AMBP	0.0007140632560611084
1	GNB1	0.000705342626259401
1	XIAP	0.0007047900869278752
1	CCR5	0.0007006940436899972
1	SGSM2	0.0007000526758079791
1	ZFHX3	0.0006998402265744557
1	EHD4	0.0006995490418029782
1	ING1	0.0006986135929032679
1	MED27	0.0006980207033265161
1	AP4S1	0.0006979689370153563
1	PIDD1	0.0006977958430625732
1	NKX2-8	0.0006957563047947966
1	POR	0.0006733307167210779
1	CDC37	0.0006702893283645643
1	ECSIT	0.0006576694876533745
1	NPM1	0.0006450907771424068
1	MAST1	0.0006357493810984782
1	TMCO3	0.0006350273563744558
1	RNF32	0.0006350048188277271
1	SSR3	0.0006326950731700826
1	VCP	0.0006323031845246614
1	SRPK2	0.0006309912339878773
1	UQCRC1	0.0006309418144333038
1	UQCRQ	0.0006305584045828587
1	TOMM40	0.0006302426116060518
1	STAT5A	0.0006299741785384588
1	CYP3A4	0.0006287962176725122
1	CYC1	0.0006281960887405458
1	RAB3D	0.0006261245670708545
1	CYP2D6	0.0006258013345772993
1	CYP2C19	0.0006242240924282184
1	ADGRE5	0.000621288983843548
1	HNRNPA1L2	0.000621176807179308
1	DCP2	0.0006205777218969477
1	CYP2C18	0.0006198289023830632
1	HNRNPDL	0.0006145307381133778
1	TERF2IP	0.0006097937901623717
1	LAMP1	0.0006091270003027446
1	SAFB	0.0006016937081006514
1	TENT5A	0.0005998140940251447
1	AP1S2	0.000597833128762335
1	FGD1	0.0005966244858453229
1	EGLN3	0.000544242804944531
1	CNDP2	0.0005309971770022698
1	LRP1	0.0005271441109121559
1	SOD2	0.0005250320296527296
1	UQCRH	0.000502369659752329
1	SOD1	0.000501155336484324
1	NOTCH2NLA	0.0004992992366560442
1	UQCRB	0.0004988447726221098
1	NDUFA4	0.0004946895666888421
1	MGST3	0.0004935504998342812
1	UBQLN2	0.0004920079295610768
1	UQCRFS1	0.0004919301635215837
1	H1-2	0.0004896438673986078
1	SUOX	0.00048818255940383834
1	NDUFAF4	0.00048701968391206006
1	GABARAPL1	0.00048432075651828795
1	UQCR10	0.0004831123125426426
1	CYTB	0.0004825677443774612
1	PRKAB1	0.0004822584207301384
1	CYB5D1	0.00048164857412824
1	NBPF19	0.00048045963452385596
1	UQCR11	0.00047933040284487484
1	NDUFAF8	0.00047856036727276206
1	C15orf48	0.0004778480076733118
1	FUS	0.0004777100882867422
1	EPR1	0.00047622396440890534
1	SERPINA10	0.00047387942129082256
1	PCOLCE	0.00047315627133304915
1	SOD3	0.0004727447912346736
1	IKBKG	0.00047198059182244
1	APOH	0.00047166783396726194
1	G6PD	0.000471010491130178
1	GABARAP	0.00047068362216111875
1	GAD2	0.0004702231955427898
1	CAPN1	0.0004695769049732035
1	ASGR2	0.00046882065904101826
1	RIPK4	0.00046863368011363006
1	MAGEA4	0.00046828602109120603
